componente,unidade,Valor por 100g,Colher servir cheia (55 g),Colher sobremesa cheia (25 g),Colher sopa cheia (35 g),codigo_alimento,nome_alimento
Energia,kJ,638,350,159,223,BRC0008G,Nome não encontrado
Energia,kcal,153,84,38,53,BRC0008G,Nome não encontrado
Umidade,g,"73,2","40,3","18,3","25,6",BRC0008G,Nome não encontrado
Carboidrato total,g,"10,9","6,00","2,73","3,82",BRC0008G,Nome não encontrado
Carboidrato disponível,g,"10,7","5,89","2,68","3,75",BRC0008G,Nome não encontrado
Proteína,g,"4,34","2,39","1,09","1,52",BRC0008G,Nome não encontrado
Lipídios,g,"10,3","5,67","2,58","3,61",BRC0008G,Nome não encontrado
Fibra alimentar,g,"0,19","0,10","0,05","0,07",BRC0008G,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0008G,Nome não encontrado
Cinzas,g,"1,30","0,72","0,33","0,46",BRC0008G,Nome não encontrado
Colesterol,mg,"29,6","16,3","7,40","10,4",BRC0008G,Nome não encontrado
Ácidos graxos saturados,g,"6,10","3,36","1,53","2,14",BRC0008G,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,68","1,47","0,67","0,94",BRC0008G,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,28","0,15","0,07","0,10",BRC0008G,Nome não encontrado
Ácidos graxos trans,g,"0,22","0,12","0,06","0,08",BRC0008G,Nome não encontrado
Cálcio,mg,119,"65,5","29,8","41,7",BRC0008G,Nome não encontrado
Ferro,mg,"0,52","0,29","0,13","0,18",BRC0008G,Nome não encontrado
Sódio,mg,270,148,"67,5","94,5",BRC0008G,Nome não encontrado
Magnésio,mg,"13,1","7,21","3,28","4,59",BRC0008G,Nome não encontrado
Fósforo,mg,"99,4","54,7","24,9","34,8",BRC0008G,Nome não encontrado
Potássio,mg,158,"86,9","39,5","55,3",BRC0008G,Nome não encontrado
Manganês,mg,"0,04","0,02","0,01","0,01",BRC0008G,Nome não encontrado
Zinco,mg,"0,48","0,26","0,12","0,17",BRC0008G,Nome não encontrado
Cobre,mg,"0,04","0,02","0,01","0,01",BRC0008G,Nome não encontrado
Selênio,mcg,"5,82","3,20","1,46","2,04",BRC0008G,Nome não encontrado
Vitamina A (RE),mcg,121,"66,6","30,3","42,4",BRC0008G,Nome não encontrado
Vitamina A (RAE),mcg,119,"65,5","29,8","41,7",BRC0008G,Nome não encontrado
Vitamina D,mcg,"1,31","0,72","0,33","0,46",BRC0008G,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,13","0,07","0,03","0,05",BRC0008G,Nome não encontrado
Tiamina,mg,traços,traços,traços,traços,BRC0008G,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,BRC0008G,Nome não encontrado
Niacina,mg,"1,65","0,91","0,41","0,58",BRC0008G,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,traços,BRC0008G,Nome não encontrado
Vitamina B12,mcg,"0,40","0,22","0,10","0,14",BRC0008G,Nome não encontrado
Vitamina C,mg,traços,traços,traços,traços,BRC0008G,Nome não encontrado
Equivalente de folato,mcg,"18,5","10,2","4,63","6,48",BRC0008G,Nome não encontrado
Sal de adição,g,"0,50","0,28","0,13","0,18",BRC0008G,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0008G,Nome não encontrado
Gordura de adição,g,"6,45","3,55","1,61","2,26",BRC0008G,Nome não encontrado
Proteína vegetal,g,"0,80","0,44","0,20","0,28",BRC0008G,Nome não encontrado
Proteína animal,g,"3,25","1,79","0,81","1,14",BRC0008G,Nome não encontrado
