componente,unidade,Valor por 100g,Colher servir cheia (45 g),Colher servir cheia (60 g),codigo_alimento,nome_alimento
Energia,kJ,276,124,165,BRC0309E,Nome não encontrado
Energia,kcal,66,29,39,BRC0309E,Nome não encontrado
Umidade,g,"84,1","37,8","50,4",BRC0309E,Nome não encontrado
Carboidrato total,g,"3,31","1,49","1,98",BRC0309E,Nome não encontrado
Carboidrato disponível,g,"2,02","0,91","1,21",BRC0309E,Nome não encontrado
Proteína,g,"9,32","4,20","5,59",BRC0309E,Nome não encontrado
Lipídios,g,"1,96","0,88","1,18",BRC0309E,Nome não encontrado
Fibra alimentar,g,"1,28","0,58","0,77",BRC0309E,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0309E,Nome não encontrado
Cinzas,g,"1,35","0,61","0,81",BRC0309E,Nome não encontrado
Colesterol,mg,"99,6","44,8","59,8",BRC0309E,Nome não encontrado
Ácidos graxos saturados,g,"0,40","0,18","0,24",BRC0309E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,31","0,14","0,19",BRC0309E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,94","0,42","0,56",BRC0309E,Nome não encontrado
Ácidos graxos trans,g,"0,02","0,01","0,01",BRC0309E,Nome não encontrado
Cálcio,mg,"21,3","9,59","12,8",BRC0309E,Nome não encontrado
Ferro,mg,"1,00","0,45","0,60",BRC0309E,Nome não encontrado
Sódio,mg,359,161,215,BRC0309E,Nome não encontrado
Magnésio,mg,"24,5","11,0","14,7",BRC0309E,Nome não encontrado
Fósforo,mg,"20,8","9,38","12,5",BRC0309E,Nome não encontrado
Potássio,mg,195,"87,8",117,BRC0309E,Nome não encontrado
Manganês,mg,"0,13","0,06","0,08",BRC0309E,Nome não encontrado
Zinco,mg,"0,82","0,37","0,49",BRC0309E,Nome não encontrado
Cobre,mg,"0,06","0,03","0,04",BRC0309E,Nome não encontrado
Selênio,mcg,"0,82","0,37","0,49",BRC0309E,Nome não encontrado
Vitamina A (RE),mcg,"92,3","41,5","55,4",BRC0309E,Nome não encontrado
Vitamina A (RAE),mcg,"48,6","21,9","29,2",BRC0309E,Nome não encontrado
Vitamina D,mcg,"0,01","0,00","0,01",BRC0309E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,55","0,25","0,33",BRC0309E,Nome não encontrado
Tiamina,mg,"0,07","0,03","0,04",BRC0309E,Nome não encontrado
Riboflavina,mg,"0,05","0,02","0,03",BRC0309E,Nome não encontrado
Niacina,mg,"1,14","0,51","0,68",BRC0309E,Nome não encontrado
Vitamina B6,mg,"0,03","0,01","0,02",BRC0309E,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0309E,Nome não encontrado
Vitamina C,mg,"15,0","6,73","8,97",BRC0309E,Nome não encontrado
Equivalente de folato,mcg,"16,2","7,31","9,74",BRC0309E,Nome não encontrado
Sal de adição,g,"0,45","0,20","0,27",BRC0309E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0309E,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0309E,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0309E,Nome não encontrado
Proteína animal,g,-,-,-,BRC0309E,Nome não encontrado
