componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),Pedaço/ Unidade/ Fatia (M) (350 mL),codigo_alimento,nome_alimento
Energia,kJ,4,9,6,13,BRC0049N,Nome não encontrado
Energia,kcal,1,2,1,3,BRC0049N,Nome não encontrado
Umidade,g,"99,7",239,164,349,BRC0049N,Nome não encontrado
Carboidrato total,g,"0,23","0,55","0,38","0,81",BRC0049N,Nome não encontrado
Carboidrato disponível,g,"0,23","0,55","0,38","0,81",BRC0049N,Nome não encontrado
Proteína,g,"0,00","0,00","0,00","0,00",BRC0049N,Nome não encontrado
Lipídios,g,"0,00","0,00","0,00","0,00",BRC0049N,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00","0,00",BRC0049N,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0049N,Nome não encontrado
Cinzas,g,"0,03","0,07","0,05","0,11",BRC0049N,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00",BRC0049N,Nome não encontrado
Ácidos graxos saturados,g,"0,00","0,00","0,00","0,00",BRC0049N,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,00","0,00","0,00",BRC0049N,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,00","0,00","0,00","0,00",BRC0049N,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00",BRC0049N,Nome não encontrado
Cálcio,mg,"1,37","3,29","2,26","4,80",BRC0049N,Nome não encontrado
Ferro,mg,traços,traços,traços,traços,BRC0049N,Nome não encontrado
Sódio,mg,"10,1","24,1","16,6","35,2",BRC0049N,Nome não encontrado
Magnésio,mg,traços,traços,traços,traços,BRC0049N,Nome não encontrado
Fósforo,mg,"16,7","40,0","27,5","58,4",BRC0049N,Nome não encontrado
Potássio,mg,"0,91","2,17","1,49","3,17",BRC0049N,Nome não encontrado
Manganês,mg,traços,traços,traços,traços,BRC0049N,Nome não encontrado
Zinco,mg,traços,traços,traços,traços,BRC0049N,Nome não encontrado
Cobre,mg,traços,traços,traços,traços,BRC0049N,Nome não encontrado
Selênio,mcg,"0,10","0,24","0,17","0,35",BRC0049N,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00","0,00",BRC0049N,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00","0,00",BRC0049N,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00",BRC0049N,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00","0,00","0,00",BRC0049N,Nome não encontrado
Tiamina,mg,"0,00","0,00","0,00","0,00",BRC0049N,Nome não encontrado
Riboflavina,mg,"0,00","0,00","0,00","0,00",BRC0049N,Nome não encontrado
Niacina,mg,"0,00","0,00","0,00","0,00",BRC0049N,Nome não encontrado
Vitamina B6,mg,"0,00","0,00","0,00","0,00",BRC0049N,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00",BRC0049N,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00","0,00",BRC0049N,Nome não encontrado
Equivalente de folato,mcg,"0,00","0,00","0,00","0,00",BRC0049N,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0049N,Nome não encontrado
Açúcar de adição,g,,,,,BRC0049N,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00","0,00",BRC0049N,Nome não encontrado
Proteína vegetal,g,"0,00","0,00","0,00","0,00",BRC0049N,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00",BRC0049N,Nome não encontrado
