componente,unidade,Valor por 100g,Colher sopa cheia (25 g),codigo_alimento,nome_alimento
Energia,kJ,706,176,BRC0078N,Nome não encontrado
Energia,kcal,167,41,BRC0078N,Nome não encontrado
Umidade,g,"55,0","13,8",BRC0078N,Nome não encontrado
Carboidrato total,g,"43,9","11,0",BRC0078N,Nome não encontrado
Carboidrato disponível,g,"38,2","9,54",BRC0078N,Nome não encontrado
Proteína,g,"0,58","0,15",BRC0078N,Nome não encontrado
Lipídios,g,"0,03","0,01",BRC0078N,Nome não encontrado
Fibra alimentar,g,"5,75","1,44",BRC0078N,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0078N,Nome não encontrado
Cinzas,g,"0,52","0,13",BRC0078N,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0078N,Nome não encontrado
Ácidos graxos saturados,g,"0,01","0,00",BRC0078N,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,00",BRC0078N,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,02","0,01",BRC0078N,Nome não encontrado
Ácidos graxos trans,g,,,BRC0078N,Nome não encontrado
Cálcio,mg,"98,9","24,7",BRC0078N,Nome não encontrado
Ferro,mg,"0,03","0,01",BRC0078N,Nome não encontrado
Sódio,mg,"60,8","15,2",BRC0078N,Nome não encontrado
Magnésio,mg,"8,24","2,06",BRC0078N,Nome não encontrado
Fósforo,mg,"71,3","17,8",BRC0078N,Nome não encontrado
Potássio,mg,131,"32,9",BRC0078N,Nome não encontrado
Manganês,mg,"0,01","0,00",BRC0078N,Nome não encontrado
Zinco,mg,"0,27","0,07",BRC0078N,Nome não encontrado
Cobre,mg,"0,01","0,00",BRC0078N,Nome não encontrado
Selênio,mcg,,,BRC0078N,Nome não encontrado
Vitamina A (RE),mcg,"39,2","9,80",BRC0078N,Nome não encontrado
Vitamina A (RAE),mcg,"39,2","9,80",BRC0078N,Nome não encontrado
Vitamina D,mcg,"0,17","0,04",BRC0078N,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,17","0,04",BRC0078N,Nome não encontrado
Tiamina,mg,"0,03","0,01",BRC0078N,Nome não encontrado
Riboflavina,mg,"0,13","0,03",BRC0078N,Nome não encontrado
Niacina,mg,traços,traços,BRC0078N,Nome não encontrado
Vitamina B6,mg,traços,traços,BRC0078N,Nome não encontrado
Vitamina B12,mcg,"0,16","0,04",BRC0078N,Nome não encontrado
Vitamina C,mg,traços,traços,BRC0078N,Nome não encontrado
Equivalente de folato,mcg,"5,67","1,42",BRC0078N,Nome não encontrado
Sal de adição,g,,,BRC0078N,Nome não encontrado
Açúcar de adição,g,,,BRC0078N,Nome não encontrado
Gordura de adição,g,,,BRC0078N,Nome não encontrado
Proteína vegetal,g,"0,58","0,15",BRC0078N,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0078N,Nome não encontrado
