componente,unidade,Valor por 100g,Colher sopa cheia (20 g),Concha cheia (130 g),codigo_alimento,nome_alimento
Energia,kJ,469,93,610,BRC0728B,Nome não encontrado
Energia,kcal,113,22,146,BRC0728B,Nome não encontrado
Umidade,g,"79,2","15,8",102,BRC0728B,Nome não encontrado
Carboidrato total,g,"8,73","1,75","11,4",BRC0728B,Nome não encontrado
Carboidrato disponível,g,"7,62","1,52","9,91",BRC0728B,Nome não encontrado
Proteína,g,"3,79","0,76","4,92",BRC0728B,Nome não encontrado
Lipídios,g,"7,21","1,44","9,37",BRC0728B,Nome não encontrado
Fibra alimentar,g,"1,11","0,22","1,44",BRC0728B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0728B,Nome não encontrado
Cinzas,g,"1,10","0,22","1,42",BRC0728B,Nome não encontrado
Colesterol,mg,"9,80","1,96","12,7",BRC0728B,Nome não encontrado
Ácidos graxos saturados,g,"2,47","0,49","3,21",BRC0728B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,30","0,46","2,98",BRC0728B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,96","0,39","2,54",BRC0728B,Nome não encontrado
Ácidos graxos trans,g,"0,05","0,01","0,06",BRC0728B,Nome não encontrado
Cálcio,mg,"47,5","9,51","61,8",BRC0728B,Nome não encontrado
Ferro,mg,"0,39","0,08","0,51",BRC0728B,Nome não encontrado
Sódio,mg,220,"44,0",286,BRC0728B,Nome não encontrado
Magnésio,mg,"9,30","1,86","12,1",BRC0728B,Nome não encontrado
Fósforo,mg,"56,1","11,2","73,0",BRC0728B,Nome não encontrado
Potássio,mg,157,"31,6",205,BRC0728B,Nome não encontrado
Manganês,mg,"0,13","0,03","0,17",BRC0728B,Nome não encontrado
Zinco,mg,"0,42","0,08","0,54",BRC0728B,Nome não encontrado
Cobre,mg,"0,05","0,01","0,07",BRC0728B,Nome não encontrado
Selênio,mcg,"2,41","0,48","3,13",BRC0728B,Nome não encontrado
Vitamina A (RE),mcg,268,"53,7",349,BRC0728B,Nome não encontrado
Vitamina A (RAE),mcg,146,"29,3",190,BRC0728B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,01",BRC0728B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"3,43","0,69","4,45",BRC0728B,Nome não encontrado
Tiamina,mg,"0,05","0,01","0,07",BRC0728B,Nome não encontrado
Riboflavina,mg,"0,09","0,02","0,11",BRC0728B,Nome não encontrado
Niacina,mg,"0,87","0,17","1,13",BRC0728B,Nome não encontrado
Vitamina B6,mg,"0,04","0,01","0,05",BRC0728B,Nome não encontrado
Vitamina B12,mcg,"0,24","0,05","0,31",BRC0728B,Nome não encontrado
Vitamina C,mg,"3,26","0,65","4,24",BRC0728B,Nome não encontrado
Equivalente de folato,mcg,"11,7","2,35","15,2",BRC0728B,Nome não encontrado
Sal de adição,g,"0,47","0,09","0,61",BRC0728B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0728B,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0728B,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0728B,Nome não encontrado
Proteína animal,g,-,-,-,BRC0728B,Nome não encontrado
