componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),codigo_alimento,nome_alimento
Energia,kJ,45,108,74,BRC0151C,Nome não encontrado
Energia,kcal,11,25,17,BRC0151C,Nome não encontrado
Umidade,g,"97,2",233,160,BRC0151C,Nome não encontrado
Carboidrato total,g,"2,40","5,75","3,96",BRC0151C,Nome não encontrado
Carboidrato disponível,g,"2,06","4,95","3,40",BRC0151C,Nome não encontrado
Proteína,g,"0,18","0,43","0,29",BRC0151C,Nome não encontrado
Lipídios,g,"0,13","0,30","0,21",BRC0151C,Nome não encontrado
Fibra alimentar,g,"0,34","0,80","0,55",BRC0151C,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0151C,Nome não encontrado
Cinzas,g,"0,13","0,31","0,22",BRC0151C,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0151C,Nome não encontrado
Ácidos graxos saturados,g,"0,06","0,15","0,10",BRC0151C,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,02","0,05","0,03",BRC0151C,Nome não encontrado
Ácidos graxos poliinsaturados,g,traços,traços,traços,BRC0151C,Nome não encontrado
Ácidos graxos trans,g,traços,traços,traços,BRC0151C,Nome não encontrado
Cálcio,mg,"1,16","2,77","1,91",BRC0151C,Nome não encontrado
Ferro,mg,"0,06","0,13","0,09",BRC0151C,Nome não encontrado
Sódio,mg,"0,15","0,35","0,24",BRC0151C,Nome não encontrado
Magnésio,mg,"2,93","7,03","4,83",BRC0151C,Nome não encontrado
Fósforo,mg,"2,99","7,17","4,93",BRC0151C,Nome não encontrado
Potássio,mg,"61,3",147,101,BRC0151C,Nome não encontrado
Manganês,mg,"0,04","0,09","0,06",BRC0151C,Nome não encontrado
Zinco,mg,"0,03","0,08","0,05",BRC0151C,Nome não encontrado
Cobre,mg,"0,03","0,07","0,05",BRC0151C,Nome não encontrado
Selênio,mcg,,,,BRC0151C,Nome não encontrado
Vitamina A (RE),mcg,,,,BRC0151C,Nome não encontrado
Vitamina A (RAE),mcg,,,,BRC0151C,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0151C,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,,BRC0151C,Nome não encontrado
Tiamina,mg,"0,01","0,03","0,02",BRC0151C,Nome não encontrado
Riboflavina,mg,"0,02","0,04","0,02",BRC0151C,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0151C,Nome não encontrado
Vitamina B6,mg,"0,01","0,03","0,02",BRC0151C,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0151C,Nome não encontrado
Vitamina C,mg,"1,38","3,32","2,28",BRC0151C,Nome não encontrado
Equivalente de folato,mcg,,,,BRC0151C,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0151C,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0151C,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0151C,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0151C,Nome não encontrado
Proteína animal,g,-,-,-,BRC0151C,Nome não encontrado
