componente,unidade,Valor por 100g,Colher servir cheia (50 g),Escumadeira cheia (110 g),Escumadeira rasa (90 g),codigo_alimento,nome_alimento
Energia,kJ,660,330,726,594,BRC1103A,Nome não encontrado
Energia,kcal,157,78,172,141,BRC1103A,Nome não encontrado
Umidade,g,"65,4","32,7","71,9","58,9",BRC1103A,Nome não encontrado
Carboidrato total,g,"19,2","9,60","21,1","17,3",BRC1103A,Nome não encontrado
Carboidrato disponível,g,"16,6","8,28","18,2","14,9",BRC1103A,Nome não encontrado
Proteína,g,"9,78","4,89","10,8","8,80",BRC1103A,Nome não encontrado
Lipídios,g,"5,18","2,59","5,70","4,66",BRC1103A,Nome não encontrado
Fibra alimentar,g,"2,65","1,33","2,92","2,39",BRC1103A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC1103A,Nome não encontrado
Cinzas,g,"0,43","0,22","0,48","0,39",BRC1103A,Nome não encontrado
Colesterol,mg,"19,8","9,89","21,8","17,8",BRC1103A,Nome não encontrado
Ácidos graxos saturados,g,"2,76","1,38","3,04","2,49",BRC1103A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,49","0,74","1,64","1,34",BRC1103A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,24","0,12","0,26","0,22",BRC1103A,Nome não encontrado
Ácidos graxos trans,g,"0,15","0,07","0,16","0,13",BRC1103A,Nome não encontrado
Cálcio,mg,"12,4","6,19","13,6","11,1",BRC1103A,Nome não encontrado
Ferro,mg,"0,88","0,44","0,97","0,79",BRC1103A,Nome não encontrado
Sódio,mg,"13,9","6,97","15,3","12,6",BRC1103A,Nome não encontrado
Magnésio,mg,"12,6","6,28","13,8","11,3",BRC1103A,Nome não encontrado
Fósforo,mg,"73,2","36,6","80,5","65,9",BRC1103A,Nome não encontrado
Potássio,mg,106,"53,5",117,"96,3",BRC1103A,Nome não encontrado
Manganês,mg,"0,26","0,13","0,29","0,24",BRC1103A,Nome não encontrado
Zinco,mg,"1,61","0,81","1,77","1,45",BRC1103A,Nome não encontrado
Cobre,mg,"0,08","0,04","0,08","0,07",BRC1103A,Nome não encontrado
Selênio,mcg,"1,92","0,96","2,11","1,73",BRC1103A,Nome não encontrado
Vitamina A (RE),mcg,"45,8","22,9","50,4","41,2",BRC1103A,Nome não encontrado
Vitamina A (RAE),mcg,"40,4","20,2","44,4","36,3",BRC1103A,Nome não encontrado
Vitamina D,mcg,"0,06","0,03","0,06","0,05",BRC1103A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,31","0,16","0,34","0,28",BRC1103A,Nome não encontrado
Tiamina,mg,"0,07","0,03","0,08","0,06",BRC1103A,Nome não encontrado
Riboflavina,mg,"0,04","0,02","0,05","0,04",BRC1103A,Nome não encontrado
Niacina,mg,"1,80","0,90","1,98","1,62",BRC1103A,Nome não encontrado
Vitamina B6,mg,"0,07","0,04","0,08","0,06",BRC1103A,Nome não encontrado
Vitamina B12,mcg,"0,28","0,14","0,31","0,25",BRC1103A,Nome não encontrado
Vitamina C,mg,"0,86","0,43","0,95","0,77",BRC1103A,Nome não encontrado
Equivalente de folato,mcg,"16,5","8,23","18,1","14,8",BRC1103A,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC1103A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC1103A,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC1103A,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC1103A,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC1103A,Nome não encontrado
