componente,unidade,Valor por 100g,Colher servir cheia (50 g),Escumadeira cheia (110 g),Escumadeira rasa (90 g),codigo_alimento,nome_alimento
Energia,kJ,613,306,674,551,BRC1093A,Nome não encontrado
Energia,kcal,146,72,160,131,BRC1093A,Nome não encontrado
Umidade,g,"68,5","34,2","75,3","61,6",BRC1093A,Nome não encontrado
Carboidrato total,g,"18,9","9,44","20,8","17,0",BRC1093A,Nome não encontrado
Carboidrato disponível,g,"18,2","9,09","20,0","16,4",BRC1093A,Nome não encontrado
Proteína,g,"7,65","3,83","8,42","6,89",BRC1093A,Nome não encontrado
Lipídios,g,"4,55","2,28","5,01","4,10",BRC1093A,Nome não encontrado
Fibra alimentar,g,"0,71","0,36","0,78","0,64",BRC1093A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC1093A,Nome não encontrado
Cinzas,g,"0,44","0,22","0,48","0,40",BRC1093A,Nome não encontrado
Colesterol,mg,"16,1","8,07","17,7","14,5",BRC1093A,Nome não encontrado
Ácidos graxos saturados,g,"1,93","0,97","2,12","1,74",BRC1093A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,30","0,65","1,43","1,17",BRC1093A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,92","0,46","1,01","0,83",BRC1093A,Nome não encontrado
Ácidos graxos trans,g,"0,09","0,05","0,10","0,08",BRC1093A,Nome não encontrado
Cálcio,mg,"29,4","14,7","32,4","26,5",BRC1093A,Nome não encontrado
Ferro,mg,"0,60","0,30","0,66","0,54",BRC1093A,Nome não encontrado
Sódio,mg,"24,6","12,3","27,0","22,1",BRC1093A,Nome não encontrado
Magnésio,mg,"5,44","2,72","5,98","4,89",BRC1093A,Nome não encontrado
Fósforo,mg,"71,0","35,5","78,1","63,9",BRC1093A,Nome não encontrado
Potássio,mg,102,"51,4",113,"92,5",BRC1093A,Nome não encontrado
Manganês,mg,"0,12","0,06","0,13","0,10",BRC1093A,Nome não encontrado
Zinco,mg,"1,28","0,64","1,41","1,15",BRC1093A,Nome não encontrado
Cobre,mg,"0,05","0,03","0,06","0,05",BRC1093A,Nome não encontrado
Selênio,mcg,"2,23","1,11","2,45","2,01",BRC1093A,Nome não encontrado
Vitamina A (RE),mcg,"27,9","14,0","30,7","25,1",BRC1093A,Nome não encontrado
Vitamina A (RAE),mcg,"27,0","13,5","29,7","24,3",BRC1093A,Nome não encontrado
Vitamina D,mcg,"0,30","0,15","0,33","0,27",BRC1093A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,37","0,18","0,40","0,33",BRC1093A,Nome não encontrado
Tiamina,mg,"0,04","0,02","0,04","0,04",BRC1093A,Nome não encontrado
Riboflavina,mg,"0,06","0,03","0,06","0,05",BRC1093A,Nome não encontrado
Niacina,mg,"1,35","0,68","1,49","1,22",BRC1093A,Nome não encontrado
Vitamina B6,mg,"0,02","0,01","0,02","0,01",BRC1093A,Nome não encontrado
Vitamina B12,mcg,"0,28","0,14","0,31","0,26",BRC1093A,Nome não encontrado
Vitamina C,mg,"0,52","0,26","0,57","0,47",BRC1093A,Nome não encontrado
Equivalente de folato,mcg,"46,5","23,3","51,2","41,9",BRC1093A,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC1093A,Nome não encontrado
Açúcar de adição,g,,traços,,,BRC1093A,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC1093A,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC1093A,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC1093A,Nome não encontrado
