componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),Xícara chá (200 mL),codigo_alimento,nome_alimento
Energia,kJ,308,738,507,615,BRC0143T,Nome não encontrado
Energia,kcal,74,176,121,147,BRC0143T,Nome não encontrado
Umidade,g,"82,1",197,135,164,BRC0143T,Nome não encontrado
Carboidrato total,g,"9,61","23,1","15,9","19,2",BRC0143T,Nome não encontrado
Carboidrato disponível,g,"5,75","13,8","9,48","11,5",BRC0143T,Nome não encontrado
Proteína,g,"4,42","10,6","7,28","8,83",BRC0143T,Nome não encontrado
Lipídios,g,"2,82","6,76","4,64","5,63",BRC0143T,Nome não encontrado
Fibra alimentar,g,"3,87","9,28","6,38","7,73",BRC0143T,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0143T,Nome não encontrado
Cinzas,g,"1,01","2,42","1,66","2,02",BRC0143T,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00",BRC0143T,Nome não encontrado
Ácidos graxos saturados,g,"0,99","2,37","1,63","1,97",BRC0143T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,73","1,74","1,20","1,45",BRC0143T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,58","1,40","0,96","1,17",BRC0143T,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,02","0,01","0,02",BRC0143T,Nome não encontrado
Cálcio,mg,"27,7","66,4","45,6","55,3",BRC0143T,Nome não encontrado
Ferro,mg,"1,78","4,26","2,93","3,55",BRC0143T,Nome não encontrado
Sódio,mg,"53,0",127,"87,4",105,BRC0143T,Nome não encontrado
Magnésio,mg,"63,8",153,105,127,BRC0143T,Nome não encontrado
Fósforo,mg,121,290,199,242,BRC0143T,Nome não encontrado
Potássio,mg,261,627,431,522,BRC0143T,Nome não encontrado
Manganês,mg,"0,52","1,24","0,85","1,03",BRC0143T,Nome não encontrado
Zinco,mg,"0,93","2,23","1,54","1,86",BRC0143T,Nome não encontrado
Cobre,mg,"0,45","1,09","0,75","0,91",BRC0143T,Nome não encontrado
Selênio,mcg,"1,43","3,43","2,36","2,86",BRC0143T,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00","0,00",BRC0143T,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00","0,00",BRC0143T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00",BRC0143T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,01","0,02","0,02","0,02",BRC0143T,Nome não encontrado
Tiamina,mg,"0,01","0,02","0,01","0,02",BRC0143T,Nome não encontrado
Riboflavina,mg,"0,02","0,06","0,04","0,05",BRC0143T,Nome não encontrado
Niacina,mg,"0,22","0,53","0,36","0,44",BRC0143T,Nome não encontrado
Vitamina B6,mg,"0,01","0,03","0,02","0,02",BRC0143T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00",BRC0143T,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00","0,00",BRC0143T,Nome não encontrado
Equivalente de folato,mcg,"78,3",187,129,156,BRC0143T,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0143T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0143T,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0143T,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0143T,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0143T,Nome não encontrado
