componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (200 mL),codigo_alimento,nome_alimento
Energia,kJ,615,1229,BRC0153H,Nome não encontrado
Energia,kcal,146,292,BRC0153H,Nome não encontrado
Umidade,g,"69,4",138,BRC0153H,Nome não encontrado
Carboidrato total,g,"21,9","43,8",BRC0153H,Nome não encontrado
Carboidrato disponível,g,"21,7","43,4",BRC0153H,Nome não encontrado
Proteína,g,"0,93","1,87",BRC0153H,Nome não encontrado
Lipídios,g,"1,58","3,15",BRC0153H,Nome não encontrado
Fibra alimentar,g,"0,18","0,36",BRC0153H,Nome não encontrado
Álcool,g,"5,86","11,7",BRC0153H,Nome não encontrado
Cinzas,g,"0,32","0,63",BRC0153H,Nome não encontrado
Colesterol,mg,"63,6",127,BRC0153H,Nome não encontrado
Ácidos graxos saturados,g,"0,47","0,94",BRC0153H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,61","1,22",BRC0153H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,21","0,42",BRC0153H,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,01",BRC0153H,Nome não encontrado
Cálcio,mg,"22,4","44,8",BRC0153H,Nome não encontrado
Ferro,mg,"0,84","1,69",BRC0153H,Nome não encontrado
Sódio,mg,"6,72","13,4",BRC0153H,Nome não encontrado
Magnésio,mg,"10,6","21,3",BRC0153H,Nome não encontrado
Fósforo,mg,"26,3","52,5",BRC0153H,Nome não encontrado
Potássio,mg,"91,7",183,BRC0153H,Nome não encontrado
Manganês,mg,"0,69","1,37",BRC0153H,Nome não encontrado
Zinco,mg,"0,23","0,46",BRC0153H,Nome não encontrado
Cobre,mg,"0,04","0,08",BRC0153H,Nome não encontrado
Selênio,mcg,"1,84","3,68",BRC0153H,Nome não encontrado
Vitamina A (RE),mcg,"23,4","46,7",BRC0153H,Nome não encontrado
Vitamina A (RAE),mcg,"23,2","46,4",BRC0153H,Nome não encontrado
Vitamina D,mcg,"0,31","0,63",BRC0153H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,73","1,45",BRC0153H,Nome não encontrado
Tiamina,mg,"0,01","0,02",BRC0153H,Nome não encontrado
Riboflavina,mg,"0,03","0,06",BRC0153H,Nome não encontrado
Niacina,mg,"0,11","0,21",BRC0153H,Nome não encontrado
Vitamina B6,mg,"0,03","0,07",BRC0153H,Nome não encontrado
Vitamina B12,mcg,"0,10","0,20",BRC0153H,Nome não encontrado
Vitamina C,mg,"0,03","0,06",BRC0153H,Nome não encontrado
Equivalente de folato,mcg,"7,99","16,0",BRC0153H,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0153H,Nome não encontrado
Açúcar de adição,g,"20,0","40,0",BRC0153H,Nome não encontrado
Gordura de adição,g,-,-,BRC0153H,Nome não encontrado
Proteína vegetal,g,-,-,BRC0153H,Nome não encontrado
Proteína animal,g,-,-,BRC0153H,Nome não encontrado
