componente,unidade,Valor por 100g,Colher servir cheia (55 g),Colher servir rasa (40 g),codigo_alimento,nome_alimento
Energia,kJ,687,377,274,BRC0902A,Nome não encontrado
Energia,kcal,165,90,65,BRC0902A,Nome não encontrado
Umidade,g,"69,3","38,1","27,7",BRC0902A,Nome não encontrado
Carboidrato total,g,"18,3","10,1","7,32",BRC0902A,Nome não encontrado
Carboidrato disponível,g,"16,1","8,86","6,44",BRC0902A,Nome não encontrado
Proteína,g,"2,41","1,32","0,96",BRC0902A,Nome não encontrado
Lipídios,g,"9,59","5,27","3,83",BRC0902A,Nome não encontrado
Fibra alimentar,g,"2,18","1,20","0,87",BRC0902A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0902A,Nome não encontrado
Cinzas,g,"0,46","0,25","0,18",BRC0902A,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0902A,Nome não encontrado
Ácidos graxos saturados,g,"5,83","3,21","2,33",BRC0902A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,99","0,55","0,40",BRC0902A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,46","0,80","0,58",BRC0902A,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,01","0,00",BRC0902A,Nome não encontrado
Cálcio,mg,"4,50","2,48","1,80",BRC0902A,Nome não encontrado
Ferro,mg,"0,29","0,16","0,11",BRC0902A,Nome não encontrado
Sódio,mg,"8,66","4,76","3,46",BRC0902A,Nome não encontrado
Magnésio,mg,"23,5","12,9","9,42",BRC0902A,Nome não encontrado
Fósforo,mg,"44,5","24,5","17,8",BRC0902A,Nome não encontrado
Potássio,mg,"97,6","53,7","39,0",BRC0902A,Nome não encontrado
Manganês,mg,"0,29","0,16","0,11",BRC0902A,Nome não encontrado
Zinco,mg,"0,41","0,23","0,17",BRC0902A,Nome não encontrado
Cobre,mg,"0,07","0,04","0,03",BRC0902A,Nome não encontrado
Selênio,mcg,"1,67","0,92","0,67",BRC0902A,Nome não encontrado
Vitamina A (RE),mcg,,,,BRC0902A,Nome não encontrado
Vitamina A (RAE),mcg,,,,BRC0902A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0902A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,43","0,24","0,17",BRC0902A,Nome não encontrado
Tiamina,mg,"0,06","0,03","0,02",BRC0902A,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0902A,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0902A,Nome não encontrado
Vitamina B6,mg,"0,07","0,04","0,03",BRC0902A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0902A,Nome não encontrado
Vitamina C,mg,"1,01","0,56","0,41",BRC0902A,Nome não encontrado
Equivalente de folato,mcg,"8,36","4,60","3,34",BRC0902A,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0902A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0902A,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0902A,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0902A,Nome não encontrado
Proteína animal,g,-,-,-,BRC0902A,Nome não encontrado
