componente,unidade,Valor por 100g,Colher sopa cheia (20 g),Colher sopa rasa (12 g),codigo_alimento,nome_alimento
Energia,kJ,1595,319,191,BRC0001R,Nome não encontrado
Energia,kcal,376,75,45,BRC0001R,Nome não encontrado
Umidade,g,"5,53","1,11","0,66",BRC0001R,Nome não encontrado
Carboidrato total,g,"84,5","16,9","10,1",BRC0001R,Nome não encontrado
Carboidrato disponível,g,"82,8","16,6","9,94",BRC0001R,Nome não encontrado
Proteína,g,"6,51","1,30","0,78",BRC0001R,Nome não encontrado
Lipídios,g,"1,72","0,34","0,21",BRC0001R,Nome não encontrado
Fibra alimentar,g,"1,67","0,33","0,20",BRC0001R,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0001R,Nome não encontrado
Cinzas,g,"1,77","0,35","0,21",BRC0001R,Nome não encontrado
Colesterol,mg,traços,traços,traços,BRC0001R,Nome não encontrado
Ácidos graxos saturados,g,"0,59","0,12","0,07",BRC0001R,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,53","0,11","0,06",BRC0001R,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,23","0,05","0,03",BRC0001R,Nome não encontrado
Ácidos graxos trans,g,"0,30","0,06","0,04",BRC0001R,Nome não encontrado
Cálcio,mg,"56,2","11,2","6,74",BRC0001R,Nome não encontrado
Ferro,mg,"1,16","0,23","0,14",BRC0001R,Nome não encontrado
Sódio,mg,441,"88,3","53,0",BRC0001R,Nome não encontrado
Magnésio,mg,"26,6","5,33","3,20",BRC0001R,Nome não encontrado
Fósforo,mg,317,"63,5","38,1",BRC0001R,Nome não encontrado
Potássio,mg,"71,9","14,4","8,63",BRC0001R,Nome não encontrado
Manganês,mg,"0,44","0,09","0,05",BRC0001R,Nome não encontrado
Zinco,mg,"0,56","0,11","0,07",BRC0001R,Nome não encontrado
Cobre,mg,"0,15","0,03","0,02",BRC0001R,Nome não encontrado
Selênio,mcg,"4,05","0,81","0,49",BRC0001R,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00",BRC0001R,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00",BRC0001R,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0001R,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,05","0,01","0,01",BRC0001R,Nome não encontrado
Tiamina,mg,"0,17","0,03","0,02",BRC0001R,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0001R,Nome não encontrado
Niacina,mg,"1,45","0,29","0,17",BRC0001R,Nome não encontrado
Vitamina B6,mg,"1,43","0,29","0,17",BRC0001R,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0001R,Nome não encontrado
Vitamina C,mg,traços,traços,traços,BRC0001R,Nome não encontrado
Equivalente de folato,mcg,163,"32,6","19,6",BRC0001R,Nome não encontrado
Sal de adição,g,,,,BRC0001R,Nome não encontrado
Açúcar de adição,g,,,,BRC0001R,Nome não encontrado
Gordura de adição,g,,,,BRC0001R,Nome não encontrado
Proteína vegetal,g,,,,BRC0001R,Nome não encontrado
Proteína animal,g,,,,BRC0001R,Nome não encontrado
