componente,unidade,Valor por 100g,Colher sobremesa rasa (10 g),codigo_alimento,nome_alimento
Energia,kJ,1868,186,BRC0006U,Nome não encontrado
Energia,kcal,453,45,BRC0006U,Nome não encontrado
Umidade,g,"6,68","0,67",BRC0006U,Nome não encontrado
Carboidrato total,g,"43,3","4,33",BRC0006U,Nome não encontrado
Carboidrato disponível,g,"9,81","0,98",BRC0006U,Nome não encontrado
Proteína,g,"14,1","1,41",BRC0006U,Nome não encontrado
Lipídios,g,"32,3","3,23",BRC0006U,Nome não encontrado
Fibra alimentar,g,"33,5","3,35",BRC0006U,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0006U,Nome não encontrado
Cinzas,g,"3,67","0,37",BRC0006U,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0006U,Nome não encontrado
Ácidos graxos saturados,g,"4,20","0,42",BRC0006U,Nome não encontrado
Ácidos graxos monoinsaturados,g,"7,10","0,71",BRC0006U,Nome não encontrado
Ácidos graxos poliinsaturados,g,"25,3","2,53",BRC0006U,Nome não encontrado
Ácidos graxos trans,g,,,BRC0006U,Nome não encontrado
Cálcio,mg,211,"21,1",BRC0006U,Nome não encontrado
Ferro,mg,"4,70","0,47",BRC0006U,Nome não encontrado
Sódio,mg,"8,67","0,87",BRC0006U,Nome não encontrado
Magnésio,mg,346,"34,7",BRC0006U,Nome não encontrado
Fósforo,mg,615,"61,5",BRC0006U,Nome não encontrado
Potássio,mg,869,"86,9",BRC0006U,Nome não encontrado
Manganês,mg,"2,81","0,28",BRC0006U,Nome não encontrado
Zinco,mg,"4,39","0,44",BRC0006U,Nome não encontrado
Cobre,mg,"1,09","0,11",BRC0006U,Nome não encontrado
Selênio,mcg,"25,5","2,55",BRC0006U,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0006U,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0006U,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0006U,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,24","0,02",BRC0006U,Nome não encontrado
Tiamina,mg,"0,12","0,01",BRC0006U,Nome não encontrado
Riboflavina,mg,traços,traços,BRC0006U,Nome não encontrado
Niacina,mg,traços,traços,BRC0006U,Nome não encontrado
Vitamina B6,mg,"0,13","0,01",BRC0006U,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0006U,Nome não encontrado
Vitamina C,mg,traços,traços,BRC0006U,Nome não encontrado
Equivalente de folato,mcg,"87,3","8,73",BRC0006U,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0006U,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0006U,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0006U,Nome não encontrado
Proteína vegetal,g,"14,1","1,41",BRC0006U,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0006U,Nome não encontrado
