componente,unidade,Valor por 100g,Concha cheia (130 g),codigo_alimento,nome_alimento
Energia,kJ,126,163,BRC0126B,Nome não encontrado
Energia,kcal,30,39,BRC0126B,Nome não encontrado
Umidade,g,"92,3",120,BRC0126B,Nome não encontrado
Carboidrato total,g,"4,65","6,05",BRC0126B,Nome não encontrado
Carboidrato disponível,g,"3,47","4,51",BRC0126B,Nome não encontrado
Proteína,g,"0,96","1,25",BRC0126B,Nome não encontrado
Lipídios,g,"1,11","1,44",BRC0126B,Nome não encontrado
Fibra alimentar,g,"1,18","1,53",BRC0126B,Nome não encontrado
Álcool,g,,,BRC0126B,Nome não encontrado
Cinzas,g,"0,97","1,26",BRC0126B,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0126B,Nome não encontrado
Ácidos graxos saturados,g,"0,53","0,69",BRC0126B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,38","0,49",BRC0126B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,14","0,19",BRC0126B,Nome não encontrado
Ácidos graxos trans,g,,,BRC0126B,Nome não encontrado
Cálcio,mg,"5,13","6,67",BRC0126B,Nome não encontrado
Ferro,mg,"0,36","0,47",BRC0126B,Nome não encontrado
Sódio,mg,166,216,BRC0126B,Nome não encontrado
Magnésio,mg,"7,33","9,53",BRC0126B,Nome não encontrado
Fósforo,mg,"23,2","30,2",BRC0126B,Nome não encontrado
Potássio,mg,"35,4","46,1",BRC0126B,Nome não encontrado
Manganês,mg,,,BRC0126B,Nome não encontrado
Zinco,mg,"0,32","0,41",BRC0126B,Nome não encontrado
Cobre,mg,,,BRC0126B,Nome não encontrado
Selênio,mcg,,,BRC0126B,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0126B,Nome não encontrado
Vitamina A (RAE),mcg,,,BRC0126B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0126B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,09","0,12",BRC0126B,Nome não encontrado
Tiamina,mg,"0,02","0,03",BRC0126B,Nome não encontrado
Riboflavina,mg,"0,01","0,02",BRC0126B,Nome não encontrado
Niacina,mg,"0,23","0,30",BRC0126B,Nome não encontrado
Vitamina B6,mg,"0,01","0,01",BRC0126B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0126B,Nome não encontrado
Vitamina C,mg,"0,32","0,41",BRC0126B,Nome não encontrado
Equivalente de folato,mcg,"0,24","0,32",BRC0126B,Nome não encontrado
Sal de adição,g,,,BRC0126B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0126B,Nome não encontrado
Gordura de adição,g,,,BRC0126B,Nome não encontrado
Proteína vegetal,g,,,BRC0126B,Nome não encontrado
Proteína animal,g,,,BRC0126B,Nome não encontrado
