componente,unidade,Valor por 100g,Porção Média (50 g),codigo_alimento,nome_alimento
Energia,kJ,340,169,BRC0232C,Nome não encontrado
Energia,kcal,81,40,BRC0232C,Nome não encontrado
Umidade,g,"78,5","39,3",BRC0232C,Nome não encontrado
Carboidrato total,g,"18,3","9,17",BRC0232C,Nome não encontrado
Carboidrato disponível,g,"13,1","6,57",BRC0232C,Nome não encontrado
Proteína,g,"1,22","0,61",BRC0232C,Nome não encontrado
Lipídios,g,"1,46","0,73",BRC0232C,Nome não encontrado
Fibra alimentar,g,"5,20","2,60",BRC0232C,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0232C,Nome não encontrado
Cinzas,g,"0,48","0,24",BRC0232C,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0232C,Nome não encontrado
Ácidos graxos saturados,g,,traços,BRC0232C,Nome não encontrado
Ácidos graxos monoinsaturados,g,,traços,BRC0232C,Nome não encontrado
Ácidos graxos poliinsaturados,g,,traços,BRC0232C,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0232C,Nome não encontrado
Cálcio,mg,"12,0","6,00",BRC0232C,Nome não encontrado
Ferro,mg,"0,63","0,32",BRC0232C,Nome não encontrado
Sódio,mg,"29,0","14,5",BRC0232C,Nome não encontrado
Magnésio,mg,"23,0","11,5",BRC0232C,Nome não encontrado
Fósforo,mg,"30,0","15,0",BRC0232C,Nome não encontrado
Potássio,mg,146,"73,0",BRC0232C,Nome não encontrado
Manganês,mg,"0,04","0,02",BRC0232C,Nome não encontrado
Zinco,mg,"0,59","0,30",BRC0232C,Nome não encontrado
Cobre,mg,"0,40","0,20",BRC0232C,Nome não encontrado
Selênio,mcg,,traços,BRC0232C,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0232C,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0232C,Nome não encontrado
Vitamina D,mcg,,traços,BRC0232C,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00",BRC0232C,Nome não encontrado
Tiamina,mg,"0,00","0,00",BRC0232C,Nome não encontrado
Riboflavina,mg,"0,00","0,00",BRC0232C,Nome não encontrado
Niacina,mg,"0,17","0,08",BRC0232C,Nome não encontrado
Vitamina B6,mg,"0,07","0,04",BRC0232C,Nome não encontrado
Vitamina B12,mcg,,traços,BRC0232C,Nome não encontrado
Vitamina C,mg,"5,49","2,75",BRC0232C,Nome não encontrado
Equivalente de folato,mcg,,traços,BRC0232C,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0232C,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0232C,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0232C,Nome não encontrado
Proteína vegetal,g,"1,22","0,61",BRC0232C,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0232C,Nome não encontrado
