componente,unidade,Valor por 100g,codigo_alimento,nome_alimento
Energia,kJ,588,BRC0284T,Nome não encontrado
Energia,kcal,141,BRC0284T,Nome não encontrado
Umidade,g,"75,5",BRC0284T,Nome não encontrado
Carboidrato total,g,"11,8",BRC0284T,Nome não encontrado
Carboidrato disponível,g,"11,5",BRC0284T,Nome não encontrado
Proteína,g,"3,00",BRC0284T,Nome não encontrado
Lipídios,g,"9,15",BRC0284T,Nome não encontrado
Fibra alimentar,g,"0,36",BRC0284T,Nome não encontrado
Álcool,g,"0,00",BRC0284T,Nome não encontrado
Cinzas,g,"0,56",BRC0284T,Nome não encontrado
Colesterol,mg,"0,00",BRC0284T,Nome não encontrado
Ácidos graxos saturados,g,"1,39",BRC0284T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,11",BRC0284T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"5,14",BRC0284T,Nome não encontrado
Ácidos graxos trans,g,"0,05",BRC0284T,Nome não encontrado
Cálcio,mg,"20,0",BRC0284T,Nome não encontrado
Ferro,mg,"0,53",BRC0284T,Nome não encontrado
Sódio,mg,"68,4",BRC0284T,Nome não encontrado
Magnésio,mg,"18,8",BRC0284T,Nome não encontrado
Fósforo,mg,"64,6",BRC0284T,Nome não encontrado
Potássio,mg,146,BRC0284T,Nome não encontrado
Manganês,mg,"0,18",BRC0284T,Nome não encontrado
Zinco,mg,"0,34",BRC0284T,Nome não encontrado
Cobre,mg,"0,13",BRC0284T,Nome não encontrado
Selênio,mcg,"0,34",BRC0284T,Nome não encontrado
Vitamina A (RE),mcg,"0,00",BRC0284T,Nome não encontrado
Vitamina A (RAE),mcg,"0,00",BRC0284T,Nome não encontrado
Vitamina D,mcg,"0,00",BRC0284T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,12",BRC0284T,Nome não encontrado
Tiamina,mg,traços,BRC0284T,Nome não encontrado
Riboflavina,mg,traços,BRC0284T,Nome não encontrado
Niacina,mg,traços,BRC0284T,Nome não encontrado
Vitamina B6,mg,traços,BRC0284T,Nome não encontrado
Vitamina B12,mcg,"0,00",BRC0284T,Nome não encontrado
Vitamina C,mg,traços,BRC0284T,Nome não encontrado
Equivalente de folato,mcg,"31,6",BRC0284T,Nome não encontrado
Sal de adição,g,"0,00",BRC0284T,Nome não encontrado
Açúcar de adição,g,"0,00",BRC0284T,Nome não encontrado
Gordura de adição,g,-,BRC0284T,Nome não encontrado
Proteína vegetal,g,-,BRC0284T,Nome não encontrado
Proteína animal,g,-,BRC0284T,Nome não encontrado
