componente,unidade,Valor por 100g,Concha cheia (130 g),codigo_alimento,nome_alimento
Energia,kJ,47,61,BRC0496F,Nome não encontrado
Energia,kcal,11,14,BRC0496F,Nome não encontrado
Umidade,g,"97,2",126,BRC0496F,Nome não encontrado
Carboidrato total,g,"1,13","1,47",BRC0496F,Nome não encontrado
Carboidrato disponível,g,"0,86","1,12",BRC0496F,Nome não encontrado
Proteína,g,"1,45","1,88",BRC0496F,Nome não encontrado
Lipídios,g,"0,15","0,20",BRC0496F,Nome não encontrado
Fibra alimentar,g,"0,27","0,35",BRC0496F,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0496F,Nome não encontrado
Cinzas,g,"0,16","0,21",BRC0496F,Nome não encontrado
Colesterol,mg,"3,54","4,60",BRC0496F,Nome não encontrado
Ácidos graxos saturados,g,"0,05","0,06",BRC0496F,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,05","0,06",BRC0496F,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,04","0,05",BRC0496F,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0496F,Nome não encontrado
Cálcio,mg,"5,74","7,46",BRC0496F,Nome não encontrado
Ferro,mg,"0,09","0,12",BRC0496F,Nome não encontrado
Sódio,mg,"2,42","3,14",BRC0496F,Nome não encontrado
Magnésio,mg,"2,18","2,83",BRC0496F,Nome não encontrado
Fósforo,mg,"14,2","18,4",BRC0496F,Nome não encontrado
Potássio,mg,"40,6","52,7",BRC0496F,Nome não encontrado
Manganês,mg,"0,02","0,03",BRC0496F,Nome não encontrado
Zinco,mg,"0,07","0,08",BRC0496F,Nome não encontrado
Cobre,mg,"0,02","0,03",BRC0496F,Nome não encontrado
Selênio,mcg,"0,54","0,70",BRC0496F,Nome não encontrado
Vitamina A (RE),mcg,"78,2",101,BRC0496F,Nome não encontrado
Vitamina A (RAE),mcg,"40,1","52,2",BRC0496F,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0496F,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,10","0,13",BRC0496F,Nome não encontrado
Tiamina,mg,traços,traços,BRC0496F,Nome não encontrado
Riboflavina,mg,traços,traços,BRC0496F,Nome não encontrado
Niacina,mg,"0,40","0,51",BRC0496F,Nome não encontrado
Vitamina B6,mg,"0,02","0,02",BRC0496F,Nome não encontrado
Vitamina B12,mcg,"0,01","0,01",BRC0496F,Nome não encontrado
Vitamina C,mg,"0,55","0,71",BRC0496F,Nome não encontrado
Equivalente de folato,mcg,"2,92","3,79",BRC0496F,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0496F,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0496F,Nome não encontrado
Gordura de adição,g,-,-,BRC0496F,Nome não encontrado
Proteína vegetal,g,-,-,BRC0496F,Nome não encontrado
Proteína animal,g,-,-,BRC0496F,Nome não encontrado
