componente,unidade,Valor por 100g,Colher sopa rasa (18 g),codigo_alimento,nome_alimento
Energia,kJ,789,141,BRC0213T,Nome não encontrado
Energia,kcal,190,34,BRC0213T,Nome não encontrado
Umidade,g,"61,0","11,0",BRC0213T,Nome não encontrado
Carboidrato total,g,"9,20","1,66",BRC0213T,Nome não encontrado
Carboidrato disponível,g,"0,55","0,10",BRC0213T,Nome não encontrado
Proteína,g,"15,7","2,83",BRC0213T,Nome não encontrado
Lipídios,g,"12,0","2,16",BRC0213T,Nome não encontrado
Fibra alimentar,g,"8,65","1,56",BRC0213T,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0213T,Nome não encontrado
Cinzas,g,"2,17","0,39",BRC0213T,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0213T,Nome não encontrado
Ácidos graxos saturados,g,"1,75","0,31",BRC0213T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"4,25","0,76",BRC0213T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"5,35","0,96",BRC0213T,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0213T,Nome não encontrado
Cálcio,mg,"68,9","12,4",BRC0213T,Nome não encontrado
Ferro,mg,"4,58","0,82",BRC0213T,Nome não encontrado
Sódio,mg,"3,28","0,59",BRC0213T,Nome não encontrado
Magnésio,mg,"71,5","12,9",BRC0213T,Nome não encontrado
Fósforo,mg,162,"29,3",BRC0213T,Nome não encontrado
Potássio,mg,476,"85,7",BRC0213T,Nome não encontrado
Manganês,mg,"0,89","0,16",BRC0213T,Nome não encontrado
Zinco,mg,"1,27","0,23",BRC0213T,Nome não encontrado
Cobre,mg,"0,33","0,06",BRC0213T,Nome não encontrado
Selênio,mcg,"31,9","5,75",BRC0213T,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0213T,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0213T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0213T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,90","0,16",BRC0213T,Nome não encontrado
Tiamina,mg,"0,22","0,04",BRC0213T,Nome não encontrado
Riboflavina,mg,"0,26","0,05",BRC0213T,Nome não encontrado
Niacina,mg,"0,42","0,07",BRC0213T,Nome não encontrado
Vitamina B6,mg,"0,10","0,02",BRC0213T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0213T,Nome não encontrado
Vitamina C,mg,"1,42","0,26",BRC0213T,Nome não encontrado
Equivalente de folato,mcg,"73,9","13,3",BRC0213T,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0213T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0213T,Nome não encontrado
Gordura de adição,g,-,-,BRC0213T,Nome não encontrado
Proteína vegetal,g,-,-,BRC0213T,Nome não encontrado
Proteína animal,g,-,-,BRC0213T,Nome não encontrado
