componente,unidade,Valor por 100g,Colher servir cheia (50 g),Escumadeira cheia (110 g),Escumadeira rasa (90 g),codigo_alimento,nome_alimento
Energia,kJ,556,277,611,500,BRC0608A,Nome não encontrado
Energia,kcal,132,65,145,118,BRC0608A,Nome não encontrado
Umidade,g,"69,2","34,6","76,1","62,3",BRC0608A,Nome não encontrado
Carboidrato total,g,"19,4","9,72","21,4","17,5",BRC0608A,Nome não encontrado
Carboidrato disponível,g,"18,6","9,32","20,5","16,8",BRC0608A,Nome não encontrado
Proteína,g,"6,57","3,29","7,23","5,91",BRC0608A,Nome não encontrado
Lipídios,g,"3,31","1,65","3,64","2,98",BRC0608A,Nome não encontrado
Fibra alimentar,g,"1,13","0,56","1,24","1,01",BRC0608A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0608A,Nome não encontrado
Cinzas,g,"1,51","0,76","1,66","1,36",BRC0608A,Nome não encontrado
Colesterol,mg,"24,9","12,4","27,4","22,4",BRC0608A,Nome não encontrado
Ácidos graxos saturados,g,"1,41","0,70","1,55","1,27",BRC0608A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,79","0,39","0,87","0,71",BRC0608A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,67","0,33","0,74","0,60",BRC0608A,Nome não encontrado
Ácidos graxos trans,g,"0,09","0,04","0,10","0,08",BRC0608A,Nome não encontrado
Cálcio,mg,"67,3","33,6","74,0","60,6",BRC0608A,Nome não encontrado
Ferro,mg,"2,17","1,09","2,39","1,96",BRC0608A,Nome não encontrado
Sódio,mg,415,207,456,373,BRC0608A,Nome não encontrado
Magnésio,mg,"7,51","3,76","8,26","6,76",BRC0608A,Nome não encontrado
Fósforo,mg,"87,1","43,6","95,8","78,4",BRC0608A,Nome não encontrado
Potássio,mg,"87,7","43,8","96,4","78,9",BRC0608A,Nome não encontrado
Manganês,mg,"91,7","45,9",100,"82,6",BRC0608A,Nome não encontrado
Zinco,mg,"0,73","0,37","0,81","0,66",BRC0608A,Nome não encontrado
Cobre,mg,"0,19","0,10","0,21","0,17",BRC0608A,Nome não encontrado
Selênio,mcg,"1,25","0,63","1,38","1,13",BRC0608A,Nome não encontrado
Vitamina A (RE),mcg,"20,0","10,0","22,0","18,0",BRC0608A,Nome não encontrado
Vitamina A (RAE),mcg,"11,3","5,66","12,5","10,2",BRC0608A,Nome não encontrado
Vitamina D,mcg,"0,04","0,02","0,05","0,04",BRC0608A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,27","0,14","0,30","0,25",BRC0608A,Nome não encontrado
Tiamina,mg,"0,06","0,03","0,06","0,05",BRC0608A,Nome não encontrado
Riboflavina,mg,"0,05","0,02","0,05","0,04",BRC0608A,Nome não encontrado
Niacina,mg,"0,97","0,49","1,07","0,88",BRC0608A,Nome não encontrado
Vitamina B6,mg,"0,03","0,01","0,03","0,02",BRC0608A,Nome não encontrado
Vitamina B12,mcg,"0,62","0,31","0,68","0,56",BRC0608A,Nome não encontrado
Vitamina C,mg,"3,30","1,65","3,63","2,97",BRC0608A,Nome não encontrado
Equivalente de folato,mcg,"50,0","25,0","55,1","45,0",BRC0608A,Nome não encontrado
Sal de adição,g,"0,47","0,24","0,52","0,42",BRC0608A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0608A,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0608A,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0608A,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0608A,Nome não encontrado
