componente,unidade,Valor por 100g,Porção Média (120 g),codigo_alimento,nome_alimento
Energia,kJ,596,715,BRC0151F,Nome não encontrado
Energia,kcal,142,170,BRC0151F,Nome não encontrado
Umidade,g,"72,8","87,4",BRC0151F,Nome não encontrado
Carboidrato total,g,"0,00","0,00",BRC0151F,Nome não encontrado
Carboidrato disponível,g,"0,00","0,00",BRC0151F,Nome não encontrado
Proteína,g,"19,9","23,8",BRC0151F,Nome não encontrado
Lipídios,g,"7,00","8,40",BRC0151F,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0151F,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0151F,Nome não encontrado
Cinzas,g,"0,30","0,36",BRC0151F,Nome não encontrado
Colesterol,mg,"70,0","84,0",BRC0151F,Nome não encontrado
Ácidos graxos saturados,g,"2,90","3,48",BRC0151F,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,99","3,59",BRC0151F,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,72","0,86",BRC0151F,Nome não encontrado
Ácidos graxos trans,g,,,BRC0151F,Nome não encontrado
Cálcio,mg,"7,35","8,82",BRC0151F,Nome não encontrado
Ferro,mg,"4,15","4,98",BRC0151F,Nome não encontrado
Sódio,mg,"46,6","55,9",BRC0151F,Nome não encontrado
Magnésio,mg,"21,8","26,2",BRC0151F,Nome não encontrado
Fósforo,mg,169,203,BRC0151F,Nome não encontrado
Potássio,mg,235,282,BRC0151F,Nome não encontrado
Manganês,mg,,,BRC0151F,Nome não encontrado
Zinco,mg,"3,61","4,34",BRC0151F,Nome não encontrado
Cobre,mg,,,BRC0151F,Nome não encontrado
Selênio,mcg,,,BRC0151F,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0151F,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0151F,Nome não encontrado
Vitamina D,mcg,,,BRC0151F,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00",BRC0151F,Nome não encontrado
Tiamina,mg,"0,11","0,13",BRC0151F,Nome não encontrado
Riboflavina,mg,"0,37","0,45",BRC0151F,Nome não encontrado
Niacina,mg,"5,75","6,90",BRC0151F,Nome não encontrado
Vitamina B6,mg,"0,41","0,49",BRC0151F,Nome não encontrado
Vitamina B12,mcg,"1,64","1,97",BRC0151F,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0151F,Nome não encontrado
Equivalente de folato,mcg,"0,00","0,00",BRC0151F,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0151F,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0151F,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0151F,Nome não encontrado
Proteína vegetal,g,"0,00","0,00",BRC0151F,Nome não encontrado
Proteína animal,g,"19,9","23,8",BRC0151F,Nome não encontrado
