componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),Pedaço/ Unidade/ Fatia (M) (200 mL),codigo_alimento,nome_alimento
Energia,kJ,414,994,683,828,BRC0100G,Nome não encontrado
Energia,kcal,98,236,162,196,BRC0100G,Nome não encontrado
Umidade,g,"78,6",188,129,157,BRC0100G,Nome não encontrado
Carboidrato total,g,"13,8","33,1","22,8","27,6",BRC0100G,Nome não encontrado
Carboidrato disponível,g,"13,8","33,1","22,8","27,6",BRC0100G,Nome não encontrado
Proteína,g,"3,46","8,30","5,70","6,91",BRC0100G,Nome não encontrado
Lipídios,g,"3,26","7,83","5,38","6,52",BRC0100G,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00","0,00",BRC0100G,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0100G,Nome não encontrado
Cinzas,g,"0,86","2,06","1,42","1,72",BRC0100G,Nome não encontrado
Colesterol,mg,"11,1","26,7","18,4","22,3",BRC0100G,Nome não encontrado
Ácidos graxos saturados,g,"2,02","4,84","3,33","4,04",BRC0100G,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,96","2,30","1,58","1,91",BRC0100G,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,12","0,29","0,20","0,24",BRC0100G,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00",BRC0100G,Nome não encontrado
Cálcio,mg,109,263,180,219,BRC0100G,Nome não encontrado
Ferro,mg,"1,48","3,56","2,45","2,97",BRC0100G,Nome não encontrado
Sódio,mg,"59,5",142,"98,2",119,BRC0100G,Nome não encontrado
Magnésio,mg,"59,7",143,"98,5",119,BRC0100G,Nome não encontrado
Fósforo,mg,148,356,245,297,BRC0100G,Nome não encontrado
Potássio,mg,275,661,454,551,BRC0100G,Nome não encontrado
Manganês,mg,"0,00","0,00","0,00","0,00",BRC0100G,Nome não encontrado
Zinco,mg,"1,04","2,50","1,72","2,08",BRC0100G,Nome não encontrado
Cobre,mg,"0,02","0,04","0,03","0,04",BRC0100G,Nome não encontrado
Selênio,mcg,"4,33","10,4","7,14","8,65",BRC0100G,Nome não encontrado
Vitamina A (RE),mcg,"44,6",107,"73,7","89,3",BRC0100G,Nome não encontrado
Vitamina A (RAE),mcg,"43,9",105,"72,5","87,8",BRC0100G,Nome não encontrado
Vitamina D,mcg,"0,82","1,96","1,35","1,64",BRC0100G,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,07","0,17","0,12","0,14",BRC0100G,Nome não encontrado
Tiamina,mg,"0,04","0,11","0,07","0,09",BRC0100G,Nome não encontrado
Riboflavina,mg,"0,24","0,58","0,40","0,48",BRC0100G,Nome não encontrado
Niacina,mg,"1,59","3,82","2,63","3,18",BRC0100G,Nome não encontrado
Vitamina B6,mg,"0,01","0,03","0,02","0,02",BRC0100G,Nome não encontrado
Vitamina B12,mcg,"0,34","0,81","0,55","0,67",BRC0100G,Nome não encontrado
Vitamina C,mg,traços,traços,traços,,BRC0100G,Nome não encontrado
Equivalente de folato,mcg,"7,93","19,0","13,1","15,9",BRC0100G,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0100G,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0100G,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0100G,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0100G,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0100G,Nome não encontrado
