componente,unidade,Valor por 100g,Colher servir cheia (60 g),codigo_alimento,nome_alimento
Energia,kJ,330,197,BRC0060T,Nome não encontrado
Energia,kcal,79,47,BRC0060T,Nome não encontrado
Umidade,g,"76,7","46,0",BRC0060T,Nome não encontrado
Carboidrato total,g,"14,6","8,74",BRC0060T,Nome não encontrado
Carboidrato disponível,g,"5,67","3,40",BRC0060T,Nome não encontrado
Proteína,g,"5,71","3,43",BRC0060T,Nome não encontrado
Lipídios,g,"1,76","1,06",BRC0060T,Nome não encontrado
Fibra alimentar,g,"8,89","5,34",BRC0060T,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0060T,Nome não encontrado
Cinzas,g,"1,29","0,77",BRC0060T,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0060T,Nome não encontrado
Ácidos graxos saturados,g,"0,19","0,11",BRC0060T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,40","0,24",BRC0060T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,08","0,65",BRC0060T,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00",BRC0060T,Nome não encontrado
Cálcio,mg,"22,9","13,8",BRC0060T,Nome não encontrado
Ferro,mg,"1,32","0,79",BRC0060T,Nome não encontrado
Sódio,mg,127,"76,7",BRC0060T,Nome não encontrado
Magnésio,mg,"38,4","23,1",BRC0060T,Nome não encontrado
Fósforo,mg,140,"84,4",BRC0060T,Nome não encontrado
Potássio,mg,295,177,BRC0060T,Nome não encontrado
Manganês,mg,"0,37","0,22",BRC0060T,Nome não encontrado
Zinco,mg,"1,13","0,68",BRC0060T,Nome não encontrado
Cobre,mg,"0,19","0,11",BRC0060T,Nome não encontrado
Selênio,mcg,"1,34","0,81",BRC0060T,Nome não encontrado
Vitamina A (RE),mcg,"18,3","11,0",BRC0060T,Nome não encontrado
Vitamina A (RAE),mcg,"9,13","5,48",BRC0060T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0060T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,25","0,75",BRC0060T,Nome não encontrado
Tiamina,mg,"0,23","0,14",BRC0060T,Nome não encontrado
Riboflavina,mg,"0,06","0,04",BRC0060T,Nome não encontrado
Niacina,mg,"1,00","0,60",BRC0060T,Nome não encontrado
Vitamina B6,mg,"0,06","0,04",BRC0060T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0060T,Nome não encontrado
Vitamina C,mg,"9,42","5,65",BRC0060T,Nome não encontrado
Equivalente de folato,mcg,"55,9","33,5",BRC0060T,Nome não encontrado
Sal de adição,g,"0,32","0,19",BRC0060T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0060T,Nome não encontrado
Gordura de adição,g,-,-,BRC0060T,Nome não encontrado
Proteína vegetal,g,-,-,BRC0060T,Nome não encontrado
Proteína animal,g,-,-,BRC0060T,Nome não encontrado
