componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (120 g),codigo_alimento,nome_alimento
Energia,kJ,1109,1330,BRC0350A,Nome não encontrado
Energia,kcal,266,318,BRC0350A,Nome não encontrado
Umidade,g,"47,3","56,8",BRC0350A,Nome não encontrado
Carboidrato total,g,"21,3","25,5",BRC0350A,Nome não encontrado
Carboidrato disponível,g,"19,1","22,9",BRC0350A,Nome não encontrado
Proteína,g,"15,3","18,3",BRC0350A,Nome não encontrado
Lipídios,g,"13,7","16,5",BRC0350A,Nome não encontrado
Fibra alimentar,g,"2,20","2,64",BRC0350A,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0350A,Nome não encontrado
Cinzas,g,"2,43","2,91",BRC0350A,Nome não encontrado
Colesterol,mg,"36,6","44,0",BRC0350A,Nome não encontrado
Ácidos graxos saturados,g,"5,28","6,33",BRC0350A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"3,45","4,14",BRC0350A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"2,51","3,02",BRC0350A,Nome não encontrado
Ácidos graxos trans,g,"1,13","1,35",BRC0350A,Nome não encontrado
Cálcio,mg,249,299,BRC0350A,Nome não encontrado
Ferro,mg,"1,54","1,84",BRC0350A,Nome não encontrado
Sódio,mg,647,776,BRC0350A,Nome não encontrado
Magnésio,mg,"36,5","43,8",BRC0350A,Nome não encontrado
Fósforo,mg,293,352,BRC0350A,Nome não encontrado
Potássio,mg,165,198,BRC0350A,Nome não encontrado
Manganês,mg,"0,77","0,93",BRC0350A,Nome não encontrado
Zinco,mg,"1,93","2,32",BRC0350A,Nome não encontrado
Cobre,mg,"0,10","0,12",BRC0350A,Nome não encontrado
Selênio,mcg,"2,29","2,75",BRC0350A,Nome não encontrado
Vitamina A (RE),mcg,"0,10","0,12",BRC0350A,Nome não encontrado
Vitamina A (RAE),mcg,"0,05","0,06",BRC0350A,Nome não encontrado
Vitamina D,mcg,"0,01","0,01",BRC0350A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,31","1,57",BRC0350A,Nome não encontrado
Tiamina,mg,"0,04","0,05",BRC0350A,Nome não encontrado
Riboflavina,mg,"0,13","0,15",BRC0350A,Nome não encontrado
Niacina,mg,"0,00","0,00",BRC0350A,Nome não encontrado
Vitamina B6,mg,"0,06","0,07",BRC0350A,Nome não encontrado
Vitamina B12,mcg,"0,68","0,81",BRC0350A,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0350A,Nome não encontrado
Equivalente de folato,mcg,"41,9","50,2",BRC0350A,Nome não encontrado
Sal de adição,g,,,BRC0350A,Nome não encontrado
Açúcar de adição,g,,,BRC0350A,Nome não encontrado
Gordura de adição,g,-,-,BRC0350A,Nome não encontrado
Proteína vegetal,g,-,-,BRC0350A,Nome não encontrado
Proteína animal,g,-,-,BRC0350A,Nome não encontrado
