componente,unidade,Valor por 100g,Colher sopa cheia (25 g),codigo_alimento,nome_alimento
Energia,kJ,2072,518,BRC0144G,Nome não encontrado
Energia,kcal,498,124,BRC0144G,Nome não encontrado
Umidade,g,"17,2","4,30",BRC0144G,Nome não encontrado
Carboidrato total,g,"29,9","7,49",BRC0144G,Nome não encontrado
Carboidrato disponível,g,"29,6","7,40",BRC0144G,Nome não encontrado
Proteína,g,"13,6","3,39",BRC0144G,Nome não encontrado
Lipídios,g,"36,1","9,03",BRC0144G,Nome não encontrado
Fibra alimentar,g,"0,35","0,09",BRC0144G,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0144G,Nome não encontrado
Cinzas,g,"3,17","0,79",BRC0144G,Nome não encontrado
Colesterol,mg,109,"27,3",BRC0144G,Nome não encontrado
Ácidos graxos saturados,g,"21,9","5,48",BRC0144G,Nome não encontrado
Ácidos graxos monoinsaturados,g,"9,68","2,42",BRC0144G,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,93","0,23",BRC0144G,Nome não encontrado
Ácidos graxos trans,g,"0,71","0,18",BRC0144G,Nome não encontrado
Cálcio,mg,498,124,BRC0144G,Nome não encontrado
Ferro,mg,"0,39","0,10",BRC0144G,Nome não encontrado
Sódio,mg,288,"72,1",BRC0144G,Nome não encontrado
Magnésio,mg,"47,0","11,7",BRC0144G,Nome não encontrado
Fósforo,mg,377,"94,4",BRC0144G,Nome não encontrado
Potássio,mg,639,159,BRC0144G,Nome não encontrado
Manganês,mg,"0,02","0,01",BRC0144G,Nome não encontrado
Zinco,mg,"1,79","0,45",BRC0144G,Nome não encontrado
Cobre,mg,"0,12","0,03",BRC0144G,Nome não encontrado
Selênio,mcg,"22,0","5,50",BRC0144G,Nome não encontrado
Vitamina A (RE),mcg,484,121,BRC0144G,Nome não encontrado
Vitamina A (RAE),mcg,476,119,BRC0144G,Nome não encontrado
Vitamina D,mcg,"5,36","1,34",BRC0144G,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,51","0,13",BRC0144G,Nome não encontrado
Tiamina,mg,"0,25","0,06",BRC0144G,Nome não encontrado
Riboflavina,mg,"1,04","0,26",BRC0144G,Nome não encontrado
Niacina,mg,"6,50","1,62",BRC0144G,Nome não encontrado
Vitamina B6,mg,traços,traços,BRC0144G,Nome não encontrado
Vitamina B12,mcg,"1,64","0,41",BRC0144G,Nome não encontrado
Vitamina C,mg,"10,9","2,72",BRC0144G,Nome não encontrado
Equivalente de folato,mcg,"26,7","6,67",BRC0144G,Nome não encontrado
Sal de adição,g,"1,00","0,25",BRC0144G,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0144G,Nome não encontrado
Gordura de adição,g,-,-,BRC0144G,Nome não encontrado
Proteína vegetal,g,-,-,BRC0144G,Nome não encontrado
Proteína animal,g,-,-,BRC0144G,Nome não encontrado
