componente,unidade,Valor por 100g,Colher servir cheia (45 g),codigo_alimento,nome_alimento
Energia,kJ,524,235,BRC0948B,Nome não encontrado
Energia,kcal,126,56,BRC0948B,Nome não encontrado
Umidade,g,"76,8","34,6",BRC0948B,Nome não encontrado
Carboidrato total,g,"13,1","5,91",BRC0948B,Nome não encontrado
Carboidrato disponível,g,"11,2","5,03",BRC0948B,Nome não encontrado
Proteína,g,"1,48","0,66",BRC0948B,Nome não encontrado
Lipídios,g,"7,95","3,58",BRC0948B,Nome não encontrado
Fibra alimentar,g,"1,96","0,88",BRC0948B,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0948B,Nome não encontrado
Cinzas,g,"0,66","0,30",BRC0948B,Nome não encontrado
Colesterol,mg,"19,3","8,67",BRC0948B,Nome não encontrado
Ácidos graxos saturados,g,"4,68","2,11",BRC0948B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,04","0,92",BRC0948B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,17","0,08",BRC0948B,Nome não encontrado
Ácidos graxos trans,g,"0,25","0,11",BRC0948B,Nome não encontrado
Cálcio,mg,"5,01","2,26",BRC0948B,Nome não encontrado
Ferro,mg,"0,44","0,20",BRC0948B,Nome não encontrado
Sódio,mg,131,"59,3",BRC0948B,Nome não encontrado
Magnésio,mg,"13,2","5,94",BRC0948B,Nome não encontrado
Fósforo,mg,"27,3","12,3",BRC0948B,Nome não encontrado
Potássio,mg,109,"49,4",BRC0948B,Nome não encontrado
Manganês,mg,"0,22","0,10",BRC0948B,Nome não encontrado
Zinco,mg,"1,21","0,54",BRC0948B,Nome não encontrado
Cobre,mg,"0,81","0,37",BRC0948B,Nome não encontrado
Selênio,mcg,"22,4","10,1",BRC0948B,Nome não encontrado
Vitamina A (RE),mcg,"96,4","43,4",BRC0948B,Nome não encontrado
Vitamina A (RAE),mcg,"93,8","42,2",BRC0948B,Nome não encontrado
Vitamina D,mcg,"0,63","0,28",BRC0948B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,23","0,10",BRC0948B,Nome não encontrado
Tiamina,mg,"0,03","0,02",BRC0948B,Nome não encontrado
Riboflavina,mg,"0,15","0,07",BRC0948B,Nome não encontrado
Niacina,mg,"1,36","0,61",BRC0948B,Nome não encontrado
Vitamina B6,mg,"3,23","1,46",BRC0948B,Nome não encontrado
Vitamina B12,mcg,"0,02","0,01",BRC0948B,Nome não encontrado
Vitamina C,mg,"0,43","0,19",BRC0948B,Nome não encontrado
Equivalente de folato,mcg,"19,8","8,90",BRC0948B,Nome não encontrado
Sal de adição,g,"0,32","0,14",BRC0948B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0948B,Nome não encontrado
Gordura de adição,g,-,-,BRC0948B,Nome não encontrado
Proteína vegetal,g,-,-,BRC0948B,Nome não encontrado
Proteína animal,g,-,-,BRC0948B,Nome não encontrado
