componente,unidade,Valor por 100g,Colher sopa cheia (25 g),Concha cheia (120 g),codigo_alimento,nome_alimento
Energia,kJ,470,117,563,BRC0185A,Nome não encontrado
Energia,kcal,111,27,132,BRC0185A,Nome não encontrado
Umidade,g,"71,9","18,0","86,3",BRC0185A,Nome não encontrado
Carboidrato total,g,"25,6","6,39","30,7",BRC0185A,Nome não encontrado
Carboidrato disponível,g,"24,3","6,07","29,1",BRC0185A,Nome não encontrado
Proteína,g,"2,26","0,56","2,71",BRC0185A,Nome não encontrado
Lipídios,g,"0,22","0,06","0,27",BRC0185A,Nome não encontrado
Fibra alimentar,g,"1,27","0,32","1,53",BRC0185A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0185A,Nome não encontrado
Cinzas,g,"0,08","0,02","0,10",BRC0185A,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0185A,Nome não encontrado
Ácidos graxos saturados,g,"0,07","0,02","0,08",BRC0185A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,05","0,01","0,06",BRC0185A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,09","0,02","0,11",BRC0185A,Nome não encontrado
Ácidos graxos trans,g,,,,BRC0185A,Nome não encontrado
Cálcio,mg,"0,64","0,16","0,77",BRC0185A,Nome não encontrado
Ferro,mg,"0,11","0,03","0,13",BRC0185A,Nome não encontrado
Sódio,mg,"0,21","0,05","0,25",BRC0185A,Nome não encontrado
Magnésio,mg,"4,01","1,00","4,81",BRC0185A,Nome não encontrado
Fósforo,mg,"12,6","3,15","15,1",BRC0185A,Nome não encontrado
Potássio,mg,"24,2","6,05","29,0",BRC0185A,Nome não encontrado
Manganês,mg,"0,03","0,01","0,03",BRC0185A,Nome não encontrado
Zinco,mg,"0,11","0,03","0,13",BRC0185A,Nome não encontrado
Cobre,mg,"0,02","0,00","0,02",BRC0185A,Nome não encontrado
Selênio,mcg,"4,86","1,22","5,83",BRC0185A,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00",BRC0185A,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00",BRC0185A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0185A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,02","0,01","0,03",BRC0185A,Nome não encontrado
Tiamina,mg,traços,traços,traços,BRC0185A,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0185A,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0185A,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,BRC0185A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0185A,Nome não encontrado
Vitamina C,mg,traços,traços,traços,BRC0185A,Nome não encontrado
Equivalente de folato,mcg,"3,97","0,99","4,77",BRC0185A,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0185A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0185A,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0185A,Nome não encontrado
Proteína vegetal,g,"2,26","0,56","2,71",BRC0185A,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0185A,Nome não encontrado
