componente,unidade,Valor por 100g,Colher servir cheia (60 g),Colher servir rasa (45 g),Pedaço/ Unidade/ Fatia (M) (100 g),codigo_alimento,nome_alimento
Energia,kJ,452,271,203,452,BRC0429E,Nome não encontrado
Energia,kcal,108,64,48,107,BRC0429E,Nome não encontrado
Umidade,g,"76,1","45,6","34,2","76,1",BRC0429E,Nome não encontrado
Carboidrato total,g,"0,98","0,59","0,44","0,98",BRC0429E,Nome não encontrado
Carboidrato disponível,g,"0,47","0,28","0,21","0,47",BRC0429E,Nome não encontrado
Proteína,g,"17,7","10,6","7,94","17,7",BRC0429E,Nome não encontrado
Lipídios,g,"3,79","2,28","1,71","3,79",BRC0429E,Nome não encontrado
Fibra alimentar,g,"0,51","0,31","0,23","0,51",BRC0429E,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0429E,Nome não encontrado
Cinzas,g,"1,51","0,91","0,68","1,51",BRC0429E,Nome não encontrado
Colesterol,mg,"58,5","35,1","26,3","58,5",BRC0429E,Nome não encontrado
Ácidos graxos saturados,g,"1,11","0,67","0,50","1,11",BRC0429E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,23","0,74","0,55","1,23",BRC0429E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,26","0,75","0,57","1,26",BRC0429E,Nome não encontrado
Ácidos graxos trans,g,,,,,BRC0429E,Nome não encontrado
Cálcio,mg,"58,3","35,0","26,2","58,3",BRC0429E,Nome não encontrado
Ferro,mg,"0,55","0,33","0,25","0,55",BRC0429E,Nome não encontrado
Sódio,mg,161,"97,2","72,9",161,BRC0429E,Nome não encontrado
Magnésio,mg,"27,6","16,5","12,4","27,6",BRC0429E,Nome não encontrado
Fósforo,mg,210,126,"94,5",210,BRC0429E,Nome não encontrado
Potássio,mg,352,211,158,352,BRC0429E,Nome não encontrado
Manganês,mg,"0,05","0,03","0,02","0,05",BRC0429E,Nome não encontrado
Zinco,mg,"0,50","0,30","0,22","0,50",BRC0429E,Nome não encontrado
Cobre,mg,"0,11","0,07","0,05","0,11",BRC0429E,Nome não encontrado
Selênio,mcg,"33,5","20,1","15,1","33,5",BRC0429E,Nome não encontrado
Vitamina A (RE),mcg,"38,8","23,3","17,5","38,8",BRC0429E,Nome não encontrado
Vitamina A (RAE),mcg,"25,2","15,1","11,3","25,2",BRC0429E,Nome não encontrado
Vitamina D,mcg,"2,01","1,20","0,90","2,01",BRC0429E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,91","0,55","0,41","0,91",BRC0429E,Nome não encontrado
Tiamina,mg,"0,10","0,06","0,05","0,10",BRC0429E,Nome não encontrado
Riboflavina,mg,"0,05","0,03","0,02","0,05",BRC0429E,Nome não encontrado
Niacina,mg,"3,38","2,03","1,52","3,38",BRC0429E,Nome não encontrado
Vitamina B6,mg,"0,01","0,01","0,01","0,01",BRC0429E,Nome não encontrado
Vitamina B12,mcg,"2,62","1,57","1,18","2,62",BRC0429E,Nome não encontrado
Vitamina C,mg,"4,07","2,44","1,83","4,07",BRC0429E,Nome não encontrado
Equivalente de folato,mcg,"13,1","7,83","5,87","13,1",BRC0429E,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0429E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0429E,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0429E,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0429E,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0429E,Nome não encontrado
