componente,unidade,Valor por 100g,Colher sopa cheia (20 g),Colher sopa rasa (10 g),codigo_alimento,nome_alimento
Energia,kJ,1574,314,157,BRC0077R,Nome não encontrado
Energia,kcal,371,74,37,BRC0077R,Nome não encontrado
Umidade,g,"5,65","1,13","0,57",BRC0077R,Nome não encontrado
Carboidrato total,g,"86,1","17,2","8,61",BRC0077R,Nome não encontrado
Carboidrato disponível,g,"82,4","16,5","8,24",BRC0077R,Nome não encontrado
Proteína,g,"4,82","0,96","0,48",BRC0077R,Nome não encontrado
Lipídios,g,"1,64","0,33","0,16",BRC0077R,Nome não encontrado
Fibra alimentar,g,"3,72","0,74","0,37",BRC0077R,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0077R,Nome não encontrado
Cinzas,g,"1,74","0,35","0,17",BRC0077R,Nome não encontrado
Colesterol,mg,,,,BRC0077R,Nome não encontrado
Ácidos graxos saturados,g,"0,30","0,06","0,03",BRC0077R,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,50","0,10","0,05",BRC0077R,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,80","0,16","0,08",BRC0077R,Nome não encontrado
Ácidos graxos trans,g,,,,BRC0077R,Nome não encontrado
Cálcio,mg,323,"64,6","32,3",BRC0077R,Nome não encontrado
Ferro,mg,"4,26","0,85","0,43",BRC0077R,Nome não encontrado
Sódio,mg,593,118,"59,4",BRC0077R,Nome não encontrado
Magnésio,mg,"30,1","6,01","3,01",BRC0077R,Nome não encontrado
Fósforo,mg,303,"60,7","30,3",BRC0077R,Nome não encontrado
Potássio,mg,165,"33,1","16,6",BRC0077R,Nome não encontrado
Manganês,mg,"0,20","0,04","0,02",BRC0077R,Nome não encontrado
Zinco,mg,"0,78","0,16","0,08",BRC0077R,Nome não encontrado
Cobre,mg,"0,04","0,01","0,00",BRC0077R,Nome não encontrado
Selênio,mcg,,,,BRC0077R,Nome não encontrado
Vitamina A (RE),mcg,,,,BRC0077R,Nome não encontrado
Vitamina A (RAE),mcg,"0,37","0,07","0,04",BRC0077R,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0077R,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,37","0,27","0,14",BRC0077R,Nome não encontrado
Tiamina,mg,"0,74","0,15","0,07",BRC0077R,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0077R,Nome não encontrado
Niacina,mg,"0,00","0,00","0,00",BRC0077R,Nome não encontrado
Vitamina B6,mg,"2,05","0,41","0,21",BRC0077R,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0077R,Nome não encontrado
Vitamina C,mg,traços,traços,traços,BRC0077R,Nome não encontrado
Equivalente de folato,mcg,"16,0","3,20","1,60",BRC0077R,Nome não encontrado
Sal de adição,g,,,,BRC0077R,Nome não encontrado
Açúcar de adição,g,,,,BRC0077R,Nome não encontrado
Gordura de adição,g,,,,BRC0077R,Nome não encontrado
Proteína vegetal,g,"4,82","0,96","0,48",BRC0077R,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0077R,Nome não encontrado
