componente,unidade,Valor por 100g,Colher servir cheia (60 g),Colher servir rasa (40 g),codigo_alimento,nome_alimento
Energia,kJ,474,284,189,BRC0092N,Nome não encontrado
Energia,kcal,112,67,44,BRC0092N,Nome não encontrado
Umidade,g,"72,6","43,5","29,0",BRC0092N,Nome não encontrado
Carboidrato total,g,"23,2","13,9","9,27",BRC0092N,Nome não encontrado
Carboidrato disponível,g,"22,1","13,3","8,85",BRC0092N,Nome não encontrado
Proteína,g,"2,57","1,54","1,03",BRC0092N,Nome não encontrado
Lipídios,g,"1,25","0,75","0,50",BRC0092N,Nome não encontrado
Fibra alimentar,g,"1,04","0,63","0,42",BRC0092N,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0092N,Nome não encontrado
Cinzas,g,"0,46","0,27","0,18",BRC0092N,Nome não encontrado
Colesterol,mg,"1,02","0,61","0,41",BRC0092N,Nome não encontrado
Ácidos graxos saturados,g,"0,24","0,14","0,10",BRC0092N,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,24","0,14","0,10",BRC0092N,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,56","0,33","0,22",BRC0092N,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0092N,Nome não encontrado
Cálcio,mg,"43,1","25,9","17,3",BRC0092N,Nome não encontrado
Ferro,mg,"0,26","0,15","0,10",BRC0092N,Nome não encontrado
Sódio,mg,"15,2","9,13","6,08",BRC0092N,Nome não encontrado
Magnésio,mg,"20,2","12,1","8,06",BRC0092N,Nome não encontrado
Fósforo,mg,"39,8","23,9","15,9",BRC0092N,Nome não encontrado
Potássio,mg,"62,5","37,5","25,0",BRC0092N,Nome não encontrado
Manganês,mg,"0,76","0,46","0,30",BRC0092N,Nome não encontrado
Zinco,mg,"0,48","0,29","0,19",BRC0092N,Nome não encontrado
Cobre,mg,"0,12","0,07","0,05",BRC0092N,Nome não encontrado
Selênio,mcg,"1,20","0,72","0,48",BRC0092N,Nome não encontrado
Vitamina A (RE),mcg,"2,70","1,62","1,08",BRC0092N,Nome não encontrado
Vitamina A (RAE),mcg,"2,74","1,64","1,10",BRC0092N,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0092N,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,15","0,09","0,06",BRC0092N,Nome não encontrado
Tiamina,mg,"0,01","0,01","0,00",BRC0092N,Nome não encontrado
Riboflavina,mg,"0,07","0,04","0,03",BRC0092N,Nome não encontrado
Niacina,mg,"0,41","0,25","0,16",BRC0092N,Nome não encontrado
Vitamina B6,mg,"0,01","0,00","0,00",BRC0092N,Nome não encontrado
Vitamina B12,mcg,"0,15","0,09","0,06",BRC0092N,Nome não encontrado
Vitamina C,mg,"0,33","0,20","0,13",BRC0092N,Nome não encontrado
Equivalente de folato,mcg,"3,47","2,08","1,39",BRC0092N,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0092N,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0092N,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0092N,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0092N,Nome não encontrado
Proteína animal,g,-,-,-,BRC0092N,Nome não encontrado
