componente,unidade,Valor por 100g,Colher sopa cheia (20 g),Concha cheia (130 g),codigo_alimento,nome_alimento
Energia,kJ,367,73,476,BRC0947B,Nome não encontrado
Energia,kcal,88,17,113,BRC0947B,Nome não encontrado
Umidade,g,"81,0","16,2",105,BRC0947B,Nome não encontrado
Carboidrato total,g,"9,32","1,86","12,1",BRC0947B,Nome não encontrado
Carboidrato disponível,g,"8,46","1,69","11,0",BRC0947B,Nome não encontrado
Proteína,g,"4,33","0,87","5,63",BRC0947B,Nome não encontrado
Lipídios,g,"3,85","0,77","5,00",BRC0947B,Nome não encontrado
Fibra alimentar,g,"0,86","0,17","1,12",BRC0947B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0947B,Nome não encontrado
Cinzas,g,"1,57","0,31","2,04",BRC0947B,Nome não encontrado
Colesterol,mg,"9,45","1,89","12,3",BRC0947B,Nome não encontrado
Ácidos graxos saturados,g,"1,19","0,24","1,55",BRC0947B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,58","0,32","2,05",BRC0947B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,79","0,16","1,03",BRC0947B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,01",BRC0947B,Nome não encontrado
Cálcio,mg,"12,1","2,41","15,7",BRC0947B,Nome não encontrado
Ferro,mg,"0,25","0,05","0,32",BRC0947B,Nome não encontrado
Sódio,mg,314,"63,0",409,BRC0947B,Nome não encontrado
Magnésio,mg,"10,3","2,05","13,3",BRC0947B,Nome não encontrado
Fósforo,mg,"48,1","9,62","62,5",BRC0947B,Nome não encontrado
Potássio,mg,154,"31,0",201,BRC0947B,Nome não encontrado
Manganês,mg,"0,09","0,02","0,11",BRC0947B,Nome não encontrado
Zinco,mg,"0,51","0,10","0,66",BRC0947B,Nome não encontrado
Cobre,mg,"0,07","0,01","0,10",BRC0947B,Nome não encontrado
Selênio,mcg,"0,57","0,11","0,74",BRC0947B,Nome não encontrado
Vitamina A (RE),mcg,"39,2","7,84","51,0",BRC0947B,Nome não encontrado
Vitamina A (RAE),mcg,"20,0","4,00","26,0",BRC0947B,Nome não encontrado
Vitamina D,mcg,"0,12","0,02","0,16",BRC0947B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,81","0,16","1,06",BRC0947B,Nome não encontrado
Tiamina,mg,"0,06","0,01","0,08",BRC0947B,Nome não encontrado
Riboflavina,mg,"0,03","0,01","0,04",BRC0947B,Nome não encontrado
Niacina,mg,"0,65","0,13","0,84",BRC0947B,Nome não encontrado
Vitamina B6,mg,"0,07","0,01","0,09",BRC0947B,Nome não encontrado
Vitamina B12,mcg,"0,23","0,05","0,29",BRC0947B,Nome não encontrado
Vitamina C,mg,"1,64","0,33","2,13",BRC0947B,Nome não encontrado
Equivalente de folato,mcg,"6,95","1,39","9,04",BRC0947B,Nome não encontrado
Sal de adição,g,"0,47","0,09","0,61",BRC0947B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0947B,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0947B,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0947B,Nome não encontrado
Proteína animal,g,-,-,-,BRC0947B,Nome não encontrado
