componente,unidade,Valor por 100g,Colher sopa cheia (20 g),Colher sopa rasa (15 g),codigo_alimento,nome_alimento
Energia,kJ,183,36,27,BRC0114T,Nome não encontrado
Energia,kcal,44,8,6,BRC0114T,Nome não encontrado
Umidade,g,"90,6","18,1","13,6",BRC0114T,Nome não encontrado
Carboidrato total,g,"4,92","0,98","0,74",BRC0114T,Nome não encontrado
Carboidrato disponível,g,"2,64","0,53","0,40",BRC0114T,Nome não encontrado
Proteína,g,"1,56","0,31","0,23",BRC0114T,Nome não encontrado
Lipídios,g,"2,54","0,51","0,38",BRC0114T,Nome não encontrado
Fibra alimentar,g,"2,28","0,46","0,34",BRC0114T,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0114T,Nome não encontrado
Cinzas,g,"0,36","0,07","0,05",BRC0114T,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0114T,Nome não encontrado
Ácidos graxos saturados,g,"0,39","0,08","0,06",BRC0114T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,57","0,11","0,09",BRC0114T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,50","0,30","0,22",BRC0114T,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00","0,00",BRC0114T,Nome não encontrado
Cálcio,mg,"34,8","6,96","5,22",BRC0114T,Nome não encontrado
Ferro,mg,"0,29","0,06","0,04",BRC0114T,Nome não encontrado
Sódio,mg,traços,traços,traços,BRC0114T,Nome não encontrado
Magnésio,mg,"9,54","1,91","1,43",BRC0114T,Nome não encontrado
Fósforo,mg,"22,5","4,49","3,37",BRC0114T,Nome não encontrado
Potássio,mg,"92,8","18,6","13,9",BRC0114T,Nome não encontrado
Manganês,mg,"0,40","0,08","0,06",BRC0114T,Nome não encontrado
Zinco,mg,"0,22","0,04","0,03",BRC0114T,Nome não encontrado
Cobre,mg,"0,06","0,01","0,01",BRC0114T,Nome não encontrado
Selênio,mcg,"0,22","0,04","0,03",BRC0114T,Nome não encontrado
Vitamina A (RE),mcg,"22,5","4,50","3,38",BRC0114T,Nome não encontrado
Vitamina A (RAE),mcg,"11,3","2,25","1,69",BRC0114T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0114T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,54","0,11","0,08",BRC0114T,Nome não encontrado
Tiamina,mg,traços,traços,traços,BRC0114T,Nome não encontrado
Riboflavina,mg,"0,05","0,01","0,01",BRC0114T,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0114T,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,BRC0114T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0114T,Nome não encontrado
Vitamina C,mg,"0,67","0,13","0,10",BRC0114T,Nome não encontrado
Equivalente de folato,mcg,"18,3","3,65","2,74",BRC0114T,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0114T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0114T,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0114T,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0114T,Nome não encontrado
Proteína animal,g,-,-,-,BRC0114T,Nome não encontrado
