componente,unidade,Valor por 100g,Colher servir cheia (35 g),Colher sopa cheia (20 g),Pedaço/ Unidade/ Fatia (M) (40 g),codigo_alimento,nome_alimento
Energia,kJ,1007,352,201,402,BRC0188F,Nome não encontrado
Energia,kcal,242,84,48,96,BRC0188F,Nome não encontrado
Umidade,g,"58,6","20,5","11,7","23,4",BRC0188F,Nome não encontrado
Carboidrato total,g,"1,00","0,35","0,20","0,40",BRC0188F,Nome não encontrado
Carboidrato disponível,g,"1,00","0,35","0,20","0,40",BRC0188F,Nome não encontrado
Proteína,g,"18,2","6,37","3,64","7,28",BRC0188F,Nome não encontrado
Lipídios,g,"18,4","6,44","3,68","7,36",BRC0188F,Nome não encontrado
Fibra alimentar,g,,,,,BRC0188F,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0188F,Nome não encontrado
Cinzas,g,"3,82","1,34","0,76","1,53",BRC0188F,Nome não encontrado
Colesterol,mg,"80,5","28,2","16,1","32,2",BRC0188F,Nome não encontrado
Ácidos graxos saturados,g,"4,70","1,65","0,94","1,88",BRC0188F,Nome não encontrado
Ácidos graxos monoinsaturados,g,"6,80","2,38","1,36","2,72",BRC0188F,Nome não encontrado
Ácidos graxos poliinsaturados,g,"3,40","1,19","0,68","1,36",BRC0188F,Nome não encontrado
Ácidos graxos trans,g,"0,04","0,01","0,01","0,02",BRC0188F,Nome não encontrado
Cálcio,mg,"13,9","4,87","2,79","5,57",BRC0188F,Nome não encontrado
Ferro,mg,"0,72","0,25","0,14","0,29",BRC0188F,Nome não encontrado
Sódio,mg,1351,473,270,540,BRC0188F,Nome não encontrado
Magnésio,mg,"21,1","7,39","4,22","8,44",BRC0188F,Nome não encontrado
Fósforo,mg,228,"79,8","45,6","91,2",BRC0188F,Nome não encontrado
Potássio,mg,355,124,"71,2",142,BRC0188F,Nome não encontrado
Manganês,mg,"0,10","0,03","0,02","0,04",BRC0188F,Nome não encontrado
Zinco,mg,"1,03","0,36","0,21","0,41",BRC0188F,Nome não encontrado
Cobre,mg,"0,09","0,03","0,02","0,04",BRC0188F,Nome não encontrado
Selênio,mcg,,,,,BRC0188F,Nome não encontrado
Vitamina A (RE),mcg,,,,,BRC0188F,Nome não encontrado
Vitamina A (RAE),mcg,,,,,BRC0188F,Nome não encontrado
Vitamina D,mcg,"0,41","0,14","0,08","0,17",BRC0188F,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"5,57","1,95","1,11","2,23",BRC0188F,Nome não encontrado
Tiamina,mg,"0,12","0,04","0,02","0,05",BRC0188F,Nome não encontrado
Riboflavina,mg,"0,04","0,01","0,01","0,02",BRC0188F,Nome não encontrado
Niacina,mg,"5,97","2,09","1,19","2,39",BRC0188F,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,traços,BRC0188F,Nome não encontrado
Vitamina B12,mcg,"0,51","0,18","0,10","0,20",BRC0188F,Nome não encontrado
Vitamina C,mg,"0,14","0,05","0,03","0,06",BRC0188F,Nome não encontrado
Equivalente de folato,mcg,"66,8","23,4","13,4","26,7",BRC0188F,Nome não encontrado
Sal de adição,g,,,,,BRC0188F,Nome não encontrado
Açúcar de adição,g,,,,,BRC0188F,Nome não encontrado
Gordura de adição,g,,,,,BRC0188F,Nome não encontrado
Proteína vegetal,g,,,,,BRC0188F,Nome não encontrado
Proteína animal,g,,,,,BRC0188F,Nome não encontrado
