componente,unidade,Valor por 100g,Colher servir cheia (80 g),Colher sopa cheia (45 g),codigo_alimento,nome_alimento
Energia,kJ,231,184,103,BRC1056B,Nome não encontrado
Energia,kcal,56,44,25,BRC1056B,Nome não encontrado
Umidade,g,"89,7","71,8","40,4",BRC1056B,Nome não encontrado
Carboidrato total,g,"4,25","3,40","1,91",BRC1056B,Nome não encontrado
Carboidrato disponível,g,"2,40","1,92","1,08",BRC1056B,Nome não encontrado
Proteína,g,"0,77","0,62","0,35",BRC1056B,Nome não encontrado
Lipídios,g,"4,39","3,51","1,97",BRC1056B,Nome não encontrado
Fibra alimentar,g,"1,85","1,48","0,83",BRC1056B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC1056B,Nome não encontrado
Cinzas,g,"0,86","0,69","0,39",BRC1056B,Nome não encontrado
Colesterol,mg,"10,9","8,74","4,92",BRC1056B,Nome não encontrado
Ácidos graxos saturados,g,"2,53","2,03","1,14",BRC1056B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,09","0,87","0,49",BRC1056B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,16","0,12","0,07",BRC1056B,Nome não encontrado
Ácidos graxos trans,g,"0,13","0,10","0,06",BRC1056B,Nome não encontrado
Cálcio,mg,"25,2","20,1","11,3",BRC1056B,Nome não encontrado
Ferro,mg,"0,16","0,12","0,07",BRC1056B,Nome não encontrado
Sódio,mg,198,158,"89,4",BRC1056B,Nome não encontrado
Magnésio,mg,"9,05","7,24","4,07",BRC1056B,Nome não encontrado
Fósforo,mg,"23,3","18,6","10,5",BRC1056B,Nome não encontrado
Potássio,mg,210,168,"94,9",BRC1056B,Nome não encontrado
Manganês,mg,"0,03","0,02","0,01",BRC1056B,Nome não encontrado
Zinco,mg,"0,17","0,13","0,08",BRC1056B,Nome não encontrado
Cobre,mg,"0,01","0,01","0,01",BRC1056B,Nome não encontrado
Selênio,mcg,"0,78","0,63","0,35",BRC1056B,Nome não encontrado
Vitamina A (RE),mcg,613,490,276,BRC1056B,Nome não encontrado
Vitamina A (RAE),mcg,332,265,149,BRC1056B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC1056B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,04","0,83","0,47",BRC1056B,Nome não encontrado
Tiamina,mg,"0,04","0,03","0,02",BRC1056B,Nome não encontrado
Riboflavina,mg,"0,02","0,02","0,01",BRC1056B,Nome não encontrado
Niacina,mg,"1,63","1,30","0,73",BRC1056B,Nome não encontrado
Vitamina B6,mg,"0,03","0,03","0,01",BRC1056B,Nome não encontrado
Vitamina B12,mcg,"0,04","0,04","0,02",BRC1056B,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00",BRC1056B,Nome não encontrado
Equivalente de folato,mcg,"6,57","5,25","2,95",BRC1056B,Nome não encontrado
Sal de adição,g,"0,47","0,38","0,21",BRC1056B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC1056B,Nome não encontrado
Gordura de adição,g,-,-,-,BRC1056B,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC1056B,Nome não encontrado
Proteína animal,g,-,-,-,BRC1056B,Nome não encontrado
