componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),codigo_alimento,nome_alimento
Energia,kJ,165,396,272,BRC0070G,Nome não encontrado
Energia,kcal,39,93,64,BRC0070G,Nome não encontrado
Umidade,g,"89,9",215,148,BRC0070G,Nome não encontrado
Carboidrato total,g,"5,95","14,3","9,82",BRC0070G,Nome não encontrado
Carboidrato disponível,g,"5,95","14,3","9,82",BRC0070G,Nome não encontrado
Proteína,g,"2,98","7,15","4,92",BRC0070G,Nome não encontrado
Lipídios,g,"0,36","0,86","0,59",BRC0070G,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00",BRC0070G,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0070G,Nome não encontrado
Cinzas,g,"0,77","1,85","1,27",BRC0070G,Nome não encontrado
Colesterol,mg,"3,75","9,01","6,19",BRC0070G,Nome não encontrado
Ácidos graxos saturados,g,"0,23","0,55","0,38",BRC0070G,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,09","0,22","0,15",BRC0070G,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,01","0,02","0,02",BRC0070G,Nome não encontrado
Ácidos graxos trans,g,,,,BRC0070G,Nome não encontrado
Cálcio,mg,134,323,222,BRC0070G,Nome não encontrado
Ferro,mg,traços,traços,traços,BRC0070G,Nome não encontrado
Sódio,mg,"51,4",123,"84,9",BRC0070G,Nome não encontrado
Magnésio,mg,"10,3","24,7","17,0",BRC0070G,Nome não encontrado
Fósforo,mg,"85,9",206,141,BRC0070G,Nome não encontrado
Potássio,mg,140,338,232,BRC0070G,Nome não encontrado
Manganês,mg,traços,traços,traços,BRC0070G,Nome não encontrado
Zinco,mg,"0,38","0,92","0,63",BRC0070G,Nome não encontrado
Cobre,mg,"0,02","0,05","0,03",BRC0070G,Nome não encontrado
Selênio,mcg,,,,BRC0070G,Nome não encontrado
Vitamina A (RE),mcg,"5,27","12,6","8,69",BRC0070G,Nome não encontrado
Vitamina A (RAE),mcg,"5,18","12,4","8,55",BRC0070G,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0070G,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,05","0,11","0,07",BRC0070G,Nome não encontrado
Tiamina,mg,"0,04","0,10","0,07",BRC0070G,Nome não encontrado
Riboflavina,mg,"0,27","0,64","0,44",BRC0070G,Nome não encontrado
Niacina,mg,"1,50","3,60","2,47",BRC0070G,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,BRC0070G,Nome não encontrado
Vitamina B12,mcg,"0,55","1,32","0,91",BRC0070G,Nome não encontrado
Vitamina C,mg,traços,traços,traços,BRC0070G,Nome não encontrado
Equivalente de folato,mcg,"5,49","13,2","9,06",BRC0070G,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0070G,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0070G,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0070G,Nome não encontrado
Proteína vegetal,g,"0,00","0,00","0,00",BRC0070G,Nome não encontrado
Proteína animal,g,"2,98","7,15","4,92",BRC0070G,Nome não encontrado
