componente,unidade,Valor por 100g,Colher sopa cheia (20 g),Concha cheia (130 g),codigo_alimento,nome_alimento
Energia,kJ,364,72,473,BRC0821B,Nome não encontrado
Energia,kcal,87,17,113,BRC0821B,Nome não encontrado
Umidade,g,"82,3","16,5",107,BRC0821B,Nome não encontrado
Carboidrato total,g,"6,56","1,31","8,53",BRC0821B,Nome não encontrado
Carboidrato disponível,g,"5,60","1,12","7,29",BRC0821B,Nome não encontrado
Proteína,g,"6,43","1,29","8,36",BRC0821B,Nome não encontrado
Lipídios,g,"4,10","0,82","5,33",BRC0821B,Nome não encontrado
Fibra alimentar,g,"0,96","0,19","1,25",BRC0821B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0821B,Nome não encontrado
Cinzas,g,"0,59","0,12","0,77",BRC0821B,Nome não encontrado
Colesterol,mg,"15,2","3,04","19,8",BRC0821B,Nome não encontrado
Ácidos graxos saturados,g,"1,86","0,37","2,42",BRC0821B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,23","0,25","1,60",BRC0821B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,57","0,11","0,74",BRC0821B,Nome não encontrado
Ácidos graxos trans,g,"0,08","0,02","0,10",BRC0821B,Nome não encontrado
Cálcio,mg,"30,8","6,17","40,1",BRC0821B,Nome não encontrado
Ferro,mg,"0,63","0,13","0,81",BRC0821B,Nome não encontrado
Sódio,mg,"25,3","5,06","32,9",BRC0821B,Nome não encontrado
Magnésio,mg,"8,65","1,73","11,2",BRC0821B,Nome não encontrado
Fósforo,mg,"62,7","12,5","81,5",BRC0821B,Nome não encontrado
Potássio,mg,155,"31,1",202,BRC0821B,Nome não encontrado
Manganês,mg,"0,11","0,02","0,14",BRC0821B,Nome não encontrado
Zinco,mg,"1,26","0,25","1,64",BRC0821B,Nome não encontrado
Cobre,mg,"0,05","0,01","0,07",BRC0821B,Nome não encontrado
Selênio,mcg,"1,59","0,32","2,07",BRC0821B,Nome não encontrado
Vitamina A (RE),mcg,239,"48,0",311,BRC0821B,Nome não encontrado
Vitamina A (RAE),mcg,133,"26,7",173,BRC0821B,Nome não encontrado
Vitamina D,mcg,"0,32","0,06","0,41",BRC0821B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"2,82","0,56","3,67",BRC0821B,Nome não encontrado
Tiamina,mg,"0,04","0,01","0,05",BRC0821B,Nome não encontrado
Riboflavina,mg,"0,05","0,01","0,07",BRC0821B,Nome não encontrado
Niacina,mg,"0,69","0,14","0,90",BRC0821B,Nome não encontrado
Vitamina B6,mg,"0,04","0,01","0,05",BRC0821B,Nome não encontrado
Vitamina B12,mcg,"0,30","0,06","0,39",BRC0821B,Nome não encontrado
Vitamina C,mg,"2,85","0,57","3,70",BRC0821B,Nome não encontrado
Equivalente de folato,mcg,"4,52","0,90","5,87",BRC0821B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0821B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0821B,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0821B,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0821B,Nome não encontrado
Proteína animal,g,-,-,-,BRC0821B,Nome não encontrado
