componente,unidade,Valor por 100g,Xícara chá (200 mL),codigo_alimento,nome_alimento
Energia,kJ,34,68,BRC0062H,Nome não encontrado
Energia,kcal,8,16,BRC0062H,Nome não encontrado
Umidade,g,"97,8",195,BRC0062H,Nome não encontrado
Carboidrato total,g,"1,34","2,69",BRC0062H,Nome não encontrado
Carboidrato disponível,g,"1,34","2,69",BRC0062H,Nome não encontrado
Proteína,g,"0,54","1,07",BRC0062H,Nome não encontrado
Lipídios,g,"0,06","0,11",BRC0062H,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0062H,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0062H,Nome não encontrado
Cinzas,g,"0,29","0,58",BRC0062H,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0062H,Nome não encontrado
Ácidos graxos saturados,g,"0,01","0,01",BRC0062H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,04","0,08",BRC0062H,Nome não encontrado
Ácidos graxos poliinsaturados,g,traços,,BRC0062H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0062H,Nome não encontrado
Cálcio,mg,"2,53","5,05",BRC0062H,Nome não encontrado
Ferro,mg,traços,,BRC0062H,Nome não encontrado
Sódio,mg,"0,82","1,64",BRC0062H,Nome não encontrado
Magnésio,mg,"7,73","15,5",BRC0062H,Nome não encontrado
Fósforo,mg,"7,60","15,2",BRC0062H,Nome não encontrado
Potássio,mg,124,249,BRC0062H,Nome não encontrado
Manganês,mg,"0,03","0,06",BRC0062H,Nome não encontrado
Zinco,mg,traços,,BRC0062H,Nome não encontrado
Cobre,mg,"0,01","0,01",BRC0062H,Nome não encontrado
Selênio,mcg,"0,00","0,00",BRC0062H,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0062H,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0062H,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0062H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,03","0,06",BRC0062H,Nome não encontrado
Tiamina,mg,"0,01","0,02",BRC0062H,Nome não encontrado
Riboflavina,mg,"0,06","0,12",BRC0062H,Nome não encontrado
Niacina,mg,"0,15","0,31",BRC0062H,Nome não encontrado
Vitamina B6,mg,traços,,BRC0062H,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0062H,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0062H,Nome não encontrado
Equivalente de folato,mcg,"1,60","3,20",BRC0062H,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0062H,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0062H,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0062H,Nome não encontrado
Proteína vegetal,g,"0,54","1,07",BRC0062H,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0062H,Nome não encontrado
