componente,unidade,Valor por 100g,Colher café cheia (3.5 g),Colher café rasa (2.3 g),Colher chá cheia (6.4 g),Colher chá rasa (3.6 g),Colher sobremesa cheia (17 g),Colher sobremesa rasa (11 g),Colher sopa cheia (22 g),Colher sopa rasa (12 g),codigo_alimento,nome_alimento
Energia,kJ,0,0,0,0,0,0,0,0,0,BRC0020L,Nome não encontrado
Energia,kcal,0,0,0,0,0,0,0,0,0,BRC0020L,Nome não encontrado
Umidade,g,"0,41","0,01","0,01","0,03","0,01","0,07","0,05","0,09","0,05",BRC0020L,Nome não encontrado
Carboidrato total,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0020L,Nome não encontrado
Carboidrato disponível,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0020L,Nome não encontrado
Proteína,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0020L,Nome não encontrado
Lipídios,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0020L,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0020L,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0020L,Nome não encontrado
Cinzas,g,"99,6","3,49","2,29","6,37","3,59","16,9","11,0","21,9","12,0",BRC0020L,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0020L,Nome não encontrado
Ácidos graxos saturados,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0020L,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0020L,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0020L,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0020L,Nome não encontrado
Cálcio,mg,"23,9","0,84","0,55","1,53","0,86","4,07","2,63","5,27","2,87",BRC0020L,Nome não encontrado
Ferro,mg,"0,33","0,01","0,01","0,02","0,01","0,06","0,04","0,07","0,04",BRC0020L,Nome não encontrado
Sódio,mg,39943,1398,918,2556,1437,6790,4393,8787,4793,BRC0020L,Nome não encontrado
Magnésio,mg,"1,00","0,03","0,02","0,06","0,04","0,17","0,11","0,22","0,12",BRC0020L,Nome não encontrado
Fósforo,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0020L,Nome não encontrado
Potássio,mg,"7,98","0,28","0,18","0,51","0,29","1,36","0,88","1,76","0,96",BRC0020L,Nome não encontrado
Manganês,mg,"0,10","0,00","0,00","0,01","0,00","0,02","0,01","0,02","0,01",BRC0020L,Nome não encontrado
Zinco,mg,"0,10","0,00","0,00","0,01","0,00","0,02","0,01","0,02","0,01",BRC0020L,Nome não encontrado
Cobre,mg,"0,03","0,00","0,00","0,00","0,00","0,01","0,00","0,01","0,00",BRC0020L,Nome não encontrado
Selênio,mcg,"0,10","0,00","0,00","0,01","0,00","0,02","0,01","0,02","0,01",BRC0020L,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0020L,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0020L,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0020L,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0020L,Nome não encontrado
Tiamina,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0020L,Nome não encontrado
Riboflavina,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0020L,Nome não encontrado
Niacina,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0020L,Nome não encontrado
Vitamina B6,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0020L,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0020L,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0020L,Nome não encontrado
Equivalente de folato,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0020L,Nome não encontrado
Sal de adição,g,"100,0","3,50","2,30","6,40","3,60","17,0","11,0","22,0","12,0",BRC0020L,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0020L,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0020L,Nome não encontrado
Proteína vegetal,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0020L,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0020L,Nome não encontrado
