componente,unidade,Valor por 100g,Colher sopa cheia (25 g),Pedaço/ Unidade/ Fatia (M) (6 g),codigo_alimento,nome_alimento
Energia,kJ,1054,263,63,BRC0773F,Nome não encontrado
Energia,kcal,254,63,15,BRC0773F,Nome não encontrado
Umidade,g,"58,2","14,5","3,49",BRC0773F,Nome não encontrado
Carboidrato total,g,"0,00","0,00","0,00",BRC0773F,Nome não encontrado
Carboidrato disponível,g,"0,00","0,00","0,00",BRC0773F,Nome não encontrado
Proteína,g,"20,6","5,14","1,23",BRC0773F,Nome não encontrado
Lipídios,g,"19,0","4,76","1,14",BRC0773F,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00",BRC0773F,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0773F,Nome não encontrado
Cinzas,g,"1,68","0,42","0,10",BRC0773F,Nome não encontrado
Colesterol,mg,256,"64,2","15,4",BRC0773F,Nome não encontrado
Ácidos graxos saturados,g,"4,42","1,10","0,26",BRC0773F,Nome não encontrado
Ácidos graxos monoinsaturados,g,"5,76","1,44","0,35",BRC0773F,Nome não encontrado
Ácidos graxos poliinsaturados,g,"6,23","1,56","0,37",BRC0773F,Nome não encontrado
Ácidos graxos trans,g,"0,13","0,03","0,01",BRC0773F,Nome não encontrado
Cálcio,mg,"7,76","1,94","0,47",BRC0773F,Nome não encontrado
Ferro,mg,"5,98","1,49","0,36",BRC0773F,Nome não encontrado
Sódio,mg,297,"74,3","17,8",BRC0773F,Nome não encontrado
Magnésio,mg,"18,4","4,61","1,11",BRC0773F,Nome não encontrado
Fósforo,mg,252,"63,1","15,2",BRC0773F,Nome não encontrado
Potássio,mg,222,"55,6","13,3",BRC0773F,Nome não encontrado
Manganês,mg,"0,05","0,01","0,00",BRC0773F,Nome não encontrado
Zinco,mg,"3,16","0,79","0,19",BRC0773F,Nome não encontrado
Cobre,mg,"0,28","0,07","0,02",BRC0773F,Nome não encontrado
Selênio,mcg,"5,44","1,36","0,33",BRC0773F,Nome não encontrado
Vitamina A (RE),mcg,traços,traços,traços,BRC0773F,Nome não encontrado
Vitamina A (RAE),mcg,traços,traços,traços,BRC0773F,Nome não encontrado
Vitamina D,mcg,,,,BRC0773F,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,,BRC0773F,Nome não encontrado
Tiamina,mg,"0,18","0,05","0,01",BRC0773F,Nome não encontrado
Riboflavina,mg,"0,18","0,04","0,01",BRC0773F,Nome não encontrado
Niacina,mg,"8,88","2,22","0,53",BRC0773F,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,BRC0773F,Nome não encontrado
Vitamina B12,mcg,"6,45","1,61","0,39",BRC0773F,Nome não encontrado
Vitamina C,mg,"3,03","0,76","0,18",BRC0773F,Nome não encontrado
Equivalente de folato,mcg,"59,2","14,8","3,55",BRC0773F,Nome não encontrado
Sal de adição,g,"0,45","0,11","0,03",BRC0773F,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0773F,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0773F,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0773F,Nome não encontrado
Proteína animal,g,-,-,-,BRC0773F,Nome não encontrado
