componente,unidade,Valor por 100g,Colher sopa cheia (20 g),codigo_alimento,nome_alimento
Energia,kJ,189,37,BRC1192B,Nome não encontrado
Energia,kcal,46,9,BRC1192B,Nome não encontrado
Umidade,g,"88,1","17,6",BRC1192B,Nome não encontrado
Carboidrato total,g,"7,84","1,57",BRC1192B,Nome não encontrado
Carboidrato disponível,g,"4,93","0,99",BRC1192B,Nome não encontrado
Proteína,g,"1,92","0,38",BRC1192B,Nome não encontrado
Lipídios,g,"1,31","0,26",BRC1192B,Nome não encontrado
Fibra alimentar,g,"2,91","0,58",BRC1192B,Nome não encontrado
Álcool,g,"0,00","0,00",BRC1192B,Nome não encontrado
Cinzas,g,"0,76","0,15",BRC1192B,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC1192B,Nome não encontrado
Ácidos graxos saturados,g,"0,20","0,04",BRC1192B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,29","0,06",BRC1192B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,73","0,15",BRC1192B,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00",BRC1192B,Nome não encontrado
Cálcio,mg,"14,8","2,96",BRC1192B,Nome não encontrado
Ferro,mg,"0,60","0,12",BRC1192B,Nome não encontrado
Sódio,mg,"4,81","0,96",BRC1192B,Nome não encontrado
Magnésio,mg,"17,9","3,58",BRC1192B,Nome não encontrado
Fósforo,mg,"41,4","8,28",BRC1192B,Nome não encontrado
Potássio,mg,326,"65,2",BRC1192B,Nome não encontrado
Manganês,mg,"0,16","0,03",BRC1192B,Nome não encontrado
Zinco,mg,"0,28","0,06",BRC1192B,Nome não encontrado
Cobre,mg,"0,12","0,02",BRC1192B,Nome não encontrado
Selênio,mcg,"0,36","0,07",BRC1192B,Nome não encontrado
Vitamina A (RE),mcg,132,"26,4",BRC1192B,Nome não encontrado
Vitamina A (RAE),mcg,"72,0","14,4",BRC1192B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC1192B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,84","0,17",BRC1192B,Nome não encontrado
Tiamina,mg,traços,traços,BRC1192B,Nome não encontrado
Riboflavina,mg,"0,01","0,00",BRC1192B,Nome não encontrado
Niacina,mg,"0,05","0,01",BRC1192B,Nome não encontrado
Vitamina B6,mg,"0,09","0,02",BRC1192B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC1192B,Nome não encontrado
Vitamina C,mg,"20,0","4,00",BRC1192B,Nome não encontrado
Equivalente de folato,mcg,"17,9","3,58",BRC1192B,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC1192B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC1192B,Nome não encontrado
Gordura de adição,g,"1,00","0,20",BRC1192B,Nome não encontrado
Proteína vegetal,g,"1,92","0,38",BRC1192B,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC1192B,Nome não encontrado
