componente,unidade,Valor por 100g,Colher servir cheia (55 g),codigo_alimento,nome_alimento
Energia,kJ,474,260,BRC0373N,Nome não encontrado
Energia,kcal,113,62,BRC0373N,Nome não encontrado
Umidade,g,"75,0","41,3",BRC0373N,Nome não encontrado
Carboidrato total,g,"10,0","5,51",BRC0373N,Nome não encontrado
Carboidrato disponível,g,"7,75","4,26",BRC0373N,Nome não encontrado
Proteína,g,"10,3","5,65",BRC0373N,Nome não encontrado
Lipídios,g,"4,05","2,23",BRC0373N,Nome não encontrado
Fibra alimentar,g,"2,27","1,25",BRC0373N,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0373N,Nome não encontrado
Cinzas,g,"0,63","0,35",BRC0373N,Nome não encontrado
Colesterol,mg,"32,8","18,0",BRC0373N,Nome não encontrado
Ácidos graxos saturados,g,"1,80","0,99",BRC0373N,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,28","0,70",BRC0373N,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,51","0,28",BRC0373N,Nome não encontrado
Ácidos graxos trans,g,"0,09","0,05",BRC0373N,Nome não encontrado
Cálcio,mg,"12,8","7,01",BRC0373N,Nome não encontrado
Ferro,mg,"1,17","0,64",BRC0373N,Nome não encontrado
Sódio,mg,"50,1","27,6",BRC0373N,Nome não encontrado
Magnésio,mg,"21,7","11,9",BRC0373N,Nome não encontrado
Fósforo,mg,"83,6","46,0",BRC0373N,Nome não encontrado
Potássio,mg,174,"96,2",BRC0373N,Nome não encontrado
Manganês,mg,"0,26","0,14",BRC0373N,Nome não encontrado
Zinco,mg,"2,70","1,49",BRC0373N,Nome não encontrado
Cobre,mg,"0,11","0,06",BRC0373N,Nome não encontrado
Selênio,mcg,"0,41","0,22",BRC0373N,Nome não encontrado
Vitamina A (RE),mcg,"16,5","9,08",BRC0373N,Nome não encontrado
Vitamina A (RAE),mcg,"8,47","4,66",BRC0373N,Nome não encontrado
Vitamina D,mcg,"0,83","0,46",BRC0373N,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,32","0,18",BRC0373N,Nome não encontrado
Tiamina,mg,"0,01","0,01",BRC0373N,Nome não encontrado
Riboflavina,mg,"0,01","0,01",BRC0373N,Nome não encontrado
Niacina,mg,"0,57","0,31",BRC0373N,Nome não encontrado
Vitamina B6,mg,"0,04","0,02",BRC0373N,Nome não encontrado
Vitamina B12,mcg,"0,81","0,44",BRC0373N,Nome não encontrado
Vitamina C,mg,"0,48","0,27",BRC0373N,Nome não encontrado
Equivalente de folato,mcg,"29,6","16,3",BRC0373N,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0373N,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0373N,Nome não encontrado
Gordura de adição,g,-,-,BRC0373N,Nome não encontrado
Proteína vegetal,g,-,-,BRC0373N,Nome não encontrado
Proteína animal,g,-,-,BRC0373N,Nome não encontrado
