componente,unidade,Valor por 100g,codigo_alimento,nome_alimento
Energia,kJ,829,BRC0208K,Nome não encontrado
Energia,kcal,198,BRC0208K,Nome não encontrado
Umidade,g,"60,2",BRC0208K,Nome não encontrado
Carboidrato total,g,"24,0",BRC0208K,Nome não encontrado
Carboidrato disponível,g,"23,7",BRC0208K,Nome não encontrado
Proteína,g,"5,69",BRC0208K,Nome não encontrado
Lipídios,g,"8,82",BRC0208K,Nome não encontrado
Fibra alimentar,g,"0,26",BRC0208K,Nome não encontrado
Álcool,g,"0,00",BRC0208K,Nome não encontrado
Cinzas,g,"1,30",BRC0208K,Nome não encontrado
Colesterol,mg,"20,5",BRC0208K,Nome não encontrado
Ácidos graxos saturados,g,"4,97",BRC0208K,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,14",BRC0208K,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,25",BRC0208K,Nome não encontrado
Ácidos graxos trans,g,"0,24",BRC0208K,Nome não encontrado
Cálcio,mg,192,BRC0208K,Nome não encontrado
Ferro,mg,"0,19",BRC0208K,Nome não encontrado
Sódio,mg,"82,9",BRC0208K,Nome não encontrado
Magnésio,mg,"18,5",BRC0208K,Nome não encontrado
Fósforo,mg,200,BRC0208K,Nome não encontrado
Potássio,mg,262,BRC0208K,Nome não encontrado
Manganês,mg,"0,03",BRC0208K,Nome não encontrado
Zinco,mg,"0,65",BRC0208K,Nome não encontrado
Cobre,mg,"0,04",BRC0208K,Nome não encontrado
Selênio,mcg,"7,68",BRC0208K,Nome não encontrado
Vitamina A (RE),mcg,"80,8",BRC0208K,Nome não encontrado
Vitamina A (RAE),mcg,"78,6",BRC0208K,Nome não encontrado
Vitamina D,mcg,"0,25",BRC0208K,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,26",BRC0208K,Nome não encontrado
Tiamina,mg,"0,05",BRC0208K,Nome não encontrado
Riboflavina,mg,"0,27",BRC0208K,Nome não encontrado
Niacina,mg,"0,47",BRC0208K,Nome não encontrado
Vitamina B6,mg,"0,18",BRC0208K,Nome não encontrado
Vitamina B12,mcg,"0,52",BRC0208K,Nome não encontrado
Vitamina C,mg,"12,1",BRC0208K,Nome não encontrado
Equivalente de folato,mcg,"11,6",BRC0208K,Nome não encontrado
Sal de adição,g,,BRC0208K,Nome não encontrado
Açúcar de adição,g,,BRC0208K,Nome não encontrado
Gordura de adição,g,-,BRC0208K,Nome não encontrado
Proteína vegetal,g,-,BRC0208K,Nome não encontrado
Proteína animal,g,-,BRC0208K,Nome não encontrado
