componente,unidade,Valor por 100g,Colher sopa cheia (20 g),Pedaço/ Unidade/ Fatia (M) (50 g),codigo_alimento,nome_alimento
Energia,kJ,77,15,38,BRC0077B,Nome não encontrado
Energia,kcal,18,3,9,BRC0077B,Nome não encontrado
Umidade,g,"94,0","18,8","47,0",BRC0077B,Nome não encontrado
Carboidrato total,g,"4,46","0,89","2,23",BRC0077B,Nome não encontrado
Carboidrato disponível,g,"2,59","0,52","1,29",BRC0077B,Nome não encontrado
Proteína,g,"0,91","0,18","0,46",BRC0077B,Nome não encontrado
Lipídios,g,"0,06","0,01","0,03",BRC0077B,Nome não encontrado
Fibra alimentar,g,"1,88","0,38","0,94",BRC0077B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0077B,Nome não encontrado
Cinzas,g,"0,52","0,10","0,26",BRC0077B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0077B,Nome não encontrado
Ácidos graxos saturados,g,"0,01","0,00","0,00",BRC0077B,Nome não encontrado
Ácidos graxos monoinsaturados,g,traços,traços,traços,BRC0077B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,03","0,01","0,02",BRC0077B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0077B,Nome não encontrado
Cálcio,mg,"41,0","8,20","20,5",BRC0077B,Nome não encontrado
Ferro,mg,"0,22","0,04","0,11",BRC0077B,Nome não encontrado
Sódio,mg,"2,38","0,48","1,19",BRC0077B,Nome não encontrado
Magnésio,mg,"14,1","2,82","7,06",BRC0077B,Nome não encontrado
Fósforo,mg,"16,0","3,20","8,01",BRC0077B,Nome não encontrado
Potássio,mg,270,"54,1",135,BRC0077B,Nome não encontrado
Manganês,mg,"4,27","0,85","2,14",BRC0077B,Nome não encontrado
Zinco,mg,"0,18","0,04","0,09",BRC0077B,Nome não encontrado
Cobre,mg,"0,04","0,01","0,02",BRC0077B,Nome não encontrado
Selênio,mcg,"0,51","0,10","0,26",BRC0077B,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00",BRC0077B,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00",BRC0077B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0077B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,02","0,00","0,01",BRC0077B,Nome não encontrado
Tiamina,mg,"0,06","0,01","0,03",BRC0077B,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0077B,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0077B,Nome não encontrado
Vitamina B6,mg,"0,03","0,01","0,01",BRC0077B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0077B,Nome não encontrado
Vitamina C,mg,"9,23","1,85","4,62",BRC0077B,Nome não encontrado
Equivalente de folato,mcg,"11,0","2,20","5,49",BRC0077B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0077B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0077B,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0077B,Nome não encontrado
Proteína vegetal,g,"0,91","0,18","0,46",BRC0077B,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0077B,Nome não encontrado
