componente,unidade,Valor por 100g,Colher servir cheia (55 g),Colher servir rasa (35 g),Colher sopa cheia (35 g),Colher sopa rasa (25 g),codigo_alimento,nome_alimento
Energia,kJ,327,179,114,114,81,BRC0054B,Nome não encontrado
Energia,kcal,77,42,27,27,19,BRC0054B,Nome não encontrado
Umidade,g,"79,3","43,6","27,7","27,7","19,8",BRC0054B,Nome não encontrado
Carboidrato total,g,"18,9","10,4","6,63","6,63","4,74",BRC0054B,Nome não encontrado
Carboidrato disponível,g,"17,2","9,45","6,02","6,02","4,30",BRC0054B,Nome não encontrado
Proteína,g,"0,85","0,47","0,30","0,30","0,21",BRC0054B,Nome não encontrado
Lipídios,g,"0,17","0,09","0,06","0,06","0,04",BRC0054B,Nome não encontrado
Fibra alimentar,g,"1,76","0,97","0,62","0,62","0,44",BRC0054B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0054B,Nome não encontrado
Cinzas,g,"0,77","0,43","0,27","0,27","0,19",BRC0054B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00",BRC0054B,Nome não encontrado
Ácidos graxos saturados,g,"0,04","0,02","0,02","0,02","0,01",BRC0054B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,05","0,02","0,02","0,02","0,01",BRC0054B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,03","0,02","0,01","0,01","0,01",BRC0054B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00","0,00",BRC0054B,Nome não encontrado
Cálcio,mg,"11,9","6,52","4,15","4,15","2,96",BRC0054B,Nome não encontrado
Ferro,mg,"0,42","0,23","0,15","0,15","0,11",BRC0054B,Nome não encontrado
Sódio,mg,"2,10","1,15","0,73","0,73","0,52",BRC0054B,Nome não encontrado
Magnésio,mg,"7,58","4,17","2,65","2,65","1,89",BRC0054B,Nome não encontrado
Fósforo,mg,"29,5","16,2","10,3","10,3","7,37",BRC0054B,Nome não encontrado
Potássio,mg,258,142,"90,4","90,4","64,6",BRC0054B,Nome não encontrado
Manganês,mg,"0,22","0,12","0,08","0,08","0,05",BRC0054B,Nome não encontrado
Zinco,mg,"0,38","0,21","0,13","0,13","0,09",BRC0054B,Nome não encontrado
Cobre,mg,"0,15","0,08","0,05","0,05","0,04",BRC0054B,Nome não encontrado
Selênio,mcg,"0,32","0,18","0,11","0,11","0,08",BRC0054B,Nome não encontrado
Vitamina A (RE),mcg,"10,7","5,88","3,74","3,74","2,67",BRC0054B,Nome não encontrado
Vitamina A (RAE),mcg,"5,34","2,94","1,87","1,87","1,34",BRC0054B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0054B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,11","0,06","0,04","0,04","0,03",BRC0054B,Nome não encontrado
Tiamina,mg,"0,06","0,03","0,02","0,02","0,02",BRC0054B,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,traços,BRC0054B,Nome não encontrado
Niacina,mg,"1,98","1,09","0,69","0,69","0,50",BRC0054B,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,traços,traços,BRC0054B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0054B,Nome não encontrado
Vitamina C,mg,"17,1","9,41","5,99","5,99","4,28",BRC0054B,Nome não encontrado
Equivalente de folato,mcg,"6,94","3,82","2,43","2,43","1,74",BRC0054B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0054B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0054B,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0054B,Nome não encontrado
Proteína vegetal,g,"0,85","0,47","0,30","0,30","0,21",BRC0054B,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00","0,00",BRC0054B,Nome não encontrado
