componente,unidade,Valor por 100g,Xícara chá (200 ml),codigo_alimento,nome_alimento
Energia,kJ,150,300,BRC0163H,Nome não encontrado
Energia,kcal,35,70,BRC0163H,Nome não encontrado
Umidade,g,"90,8",181,BRC0163H,Nome não encontrado
Carboidrato total,g,"7,31","14,6",BRC0163H,Nome não encontrado
Carboidrato disponível,g,"7,21","14,4",BRC0163H,Nome não encontrado
Proteína,g,"0,52","1,05",BRC0163H,Nome não encontrado
Lipídios,g,"0,49","0,97",BRC0163H,Nome não encontrado
Fibra alimentar,g,"0,09","0,19",BRC0163H,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0163H,Nome não encontrado
Cinzas,g,"0,57","1,14",BRC0163H,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0163H,Nome não encontrado
Ácidos graxos saturados,g,"0,04","0,08",BRC0163H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,30","0,60",BRC0163H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,11","0,23",BRC0163H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0163H,Nome não encontrado
Cálcio,mg,"90,7",181,BRC0163H,Nome não encontrado
Ferro,mg,"0,26","0,52",BRC0163H,Nome não encontrado
Sódio,mg,"35,1","70,1",BRC0163H,Nome não encontrado
Magnésio,mg,"8,99","18,0",BRC0163H,Nome não encontrado
Fósforo,mg,"9,46","18,9",BRC0163H,Nome não encontrado
Potássio,mg,115,230,BRC0163H,Nome não encontrado
Manganês,mg,"0,16","0,32",BRC0163H,Nome não encontrado
Zinco,mg,"0,04","0,08",BRC0163H,Nome não encontrado
Cobre,mg,"0,02","0,03",BRC0163H,Nome não encontrado
Selênio,mcg,"0,05","0,09",BRC0163H,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0163H,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0163H,Nome não encontrado
Vitamina D,mcg,"0,47","0,94",BRC0163H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"2,99","5,98",BRC0163H,Nome não encontrado
Tiamina,mg,"0,01","0,01",BRC0163H,Nome não encontrado
Riboflavina,mg,"0,04","0,08",BRC0163H,Nome não encontrado
Niacina,mg,"0,12","0,25",BRC0163H,Nome não encontrado
Vitamina B6,mg,traços,,BRC0163H,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0163H,Nome não encontrado
Vitamina C,mg,traços,,BRC0163H,Nome não encontrado
Equivalente de folato,mcg,"1,41","2,82",BRC0163H,Nome não encontrado
Sal de adição,g,"6,00","12,0",BRC0163H,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0163H,Nome não encontrado
Gordura de adição,g,-,-,BRC0163H,Nome não encontrado
Proteína vegetal,g,-,-,BRC0163H,Nome não encontrado
Proteína animal,g,-,-,BRC0163H,Nome não encontrado
