componente,unidade,Valor por 100g,Colher servir cheia (60 g),Colher servir rasa (45 g),codigo_alimento,nome_alimento
Energia,kJ,452,271,203,BRC0261E,Nome não encontrado
Energia,kcal,109,65,49,BRC0261E,Nome não encontrado
Umidade,g,"81,1","48,7","36,5",BRC0261E,Nome não encontrado
Carboidrato total,g,"5,72","3,43","2,57",BRC0261E,Nome não encontrado
Carboidrato disponível,g,"3,58","2,15","1,61",BRC0261E,Nome não encontrado
Proteína,g,"3,57","2,14","1,61",BRC0261E,Nome não encontrado
Lipídios,g,"8,47","5,08","3,81",BRC0261E,Nome não encontrado
Fibra alimentar,g,"2,14","1,28","0,96",BRC0261E,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0261E,Nome não encontrado
Cinzas,g,"1,15","0,69","0,52",BRC0261E,Nome não encontrado
Colesterol,mg,"12,8","7,67","5,75",BRC0261E,Nome não encontrado
Ácidos graxos saturados,g,"2,48","1,49","1,12",BRC0261E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"3,55","2,13","1,60",BRC0261E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"2,27","1,36","1,02",BRC0261E,Nome não encontrado
Ácidos graxos trans,g,"0,02","0,01","0,01",BRC0261E,Nome não encontrado
Cálcio,mg,"40,0","24,0","18,0",BRC0261E,Nome não encontrado
Ferro,mg,"0,54","0,32","0,24",BRC0261E,Nome não encontrado
Sódio,mg,287,172,129,BRC0261E,Nome não encontrado
Magnésio,mg,"25,6","15,4","11,5",BRC0261E,Nome não encontrado
Fósforo,mg,"75,4","45,2","33,9",BRC0261E,Nome não encontrado
Potássio,mg,168,101,"75,8",BRC0261E,Nome não encontrado
Manganês,mg,"0,24","0,14","0,11",BRC0261E,Nome não encontrado
Zinco,mg,"0,44","0,26","0,20",BRC0261E,Nome não encontrado
Cobre,mg,"0,14","0,08","0,06",BRC0261E,Nome não encontrado
Selênio,mcg,"3,41","2,04","1,53",BRC0261E,Nome não encontrado
Vitamina A (RE),mcg,433,260,195,BRC0261E,Nome não encontrado
Vitamina A (RAE),mcg,222,133,100,BRC0261E,Nome não encontrado
Vitamina D,mcg,"0,01","0,00","0,00",BRC0261E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,88","0,53","0,39",BRC0261E,Nome não encontrado
Tiamina,mg,"0,05","0,03","0,02",BRC0261E,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0261E,Nome não encontrado
Niacina,mg,"0,58","0,35","0,26",BRC0261E,Nome não encontrado
Vitamina B6,mg,"0,06","0,03","0,02",BRC0261E,Nome não encontrado
Vitamina B12,mcg,"0,08","0,05","0,04",BRC0261E,Nome não encontrado
Vitamina C,mg,"12,7","7,63","5,72",BRC0261E,Nome não encontrado
Equivalente de folato,mcg,"27,2","16,3","12,2",BRC0261E,Nome não encontrado
Sal de adição,g,"0,45","0,27","0,20",BRC0261E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0261E,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0261E,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0261E,Nome não encontrado
Proteína animal,g,-,-,-,BRC0261E,Nome não encontrado
