componente,unidade,Valor por 100g,Xícara chá (200 mL),codigo_alimento,nome_alimento
Energia,kJ,293,586,BRC0108H,Nome não encontrado
Energia,kcal,70,139,BRC0108H,Nome não encontrado
Umidade,g,"82,0",164,BRC0108H,Nome não encontrado
Carboidrato total,g,"13,1","26,2",BRC0108H,Nome não encontrado
Carboidrato disponível,g,"11,2","22,4",BRC0108H,Nome não encontrado
Proteína,g,"3,08","6,17",BRC0108H,Nome não encontrado
Lipídios,g,"0,96","1,92",BRC0108H,Nome não encontrado
Fibra alimentar,g,"1,90","3,80",BRC0108H,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0108H,Nome não encontrado
Cinzas,g,"0,85","1,69",BRC0108H,Nome não encontrado
Colesterol,mg,"2,65","5,29",BRC0108H,Nome não encontrado
Ácidos graxos saturados,g,"0,40","0,80",BRC0108H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,22","0,44",BRC0108H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,04","0,09",BRC0108H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0108H,Nome não encontrado
Cálcio,mg,104,208,BRC0108H,Nome não encontrado
Ferro,mg,"0,80","1,60",BRC0108H,Nome não encontrado
Sódio,mg,"38,3","76,6",BRC0108H,Nome não encontrado
Magnésio,mg,"33,3","66,6",BRC0108H,Nome não encontrado
Fósforo,mg,"96,4",192,BRC0108H,Nome não encontrado
Potássio,mg,189,378,BRC0108H,Nome não encontrado
Manganês,mg,"0,31","0,62",BRC0108H,Nome não encontrado
Zinco,mg,"0,60","1,20",BRC0108H,Nome não encontrado
Cobre,mg,"0,20","0,40",BRC0108H,Nome não encontrado
Selênio,mcg,"0,67","1,34",BRC0108H,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0108H,Nome não encontrado
Vitamina A (RAE),mcg,"6,35","12,7",BRC0108H,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0108H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,04","0,07",BRC0108H,Nome não encontrado
Tiamina,mg,"0,03","0,06",BRC0108H,Nome não encontrado
Riboflavina,mg,"0,20","0,40",BRC0108H,Nome não encontrado
Niacina,mg,"1,20","2,40",BRC0108H,Nome não encontrado
Vitamina B6,mg,"0,01","0,01",BRC0108H,Nome não encontrado
Vitamina B12,mcg,"0,39","0,77",BRC0108H,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0108H,Nome não encontrado
Equivalente de folato,mcg,"5,38","10,8",BRC0108H,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0108H,Nome não encontrado
Açúcar de adição,g,"6,00","12,0",BRC0108H,Nome não encontrado
Gordura de adição,g,-,-,BRC0108H,Nome não encontrado
Proteína vegetal,g,-,-,BRC0108H,Nome não encontrado
Proteína animal,g,-,-,BRC0108H,Nome não encontrado
