componente,unidade,Valor por 100g,Colher servir cheia (35 g),Colher sopa cheia (17 g),Concha cheia (140 g),Concha rasa (80 g),codigo_alimento,nome_alimento
Energia,kJ,576,201,97,806,460,BRC0215T,Nome não encontrado
Energia,kcal,139,48,23,194,110,BRC0215T,Nome não encontrado
Umidade,g,"72,4","25,3","12,3",101,"57,9",BRC0215T,Nome não encontrado
Carboidrato total,g,"11,4","3,98","1,94","15,9","9,11",BRC0215T,Nome não encontrado
Carboidrato disponível,g,"5,20","1,82","0,88","7,28","4,16",BRC0215T,Nome não encontrado
Proteína,g,"6,93","2,42","1,18","9,70","5,54",BRC0215T,Nome não encontrado
Lipídios,g,"7,88","2,76","1,34","11,0","6,31",BRC0215T,Nome não encontrado
Fibra alimentar,g,"6,18","2,16","1,05","8,66","4,95",BRC0215T,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0215T,Nome não encontrado
Cinzas,g,"1,44","0,51","0,25","2,02","1,16",BRC0215T,Nome não encontrado
Colesterol,mg,"17,3","6,06","2,94","24,2","13,8",BRC0215T,Nome não encontrado
Ácidos graxos saturados,g,"1,76","0,62","0,30","2,47","1,41",BRC0215T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,28","0,80","0,39","3,19","1,82",BRC0215T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"2,23","0,78","0,38","3,13","1,79",BRC0215T,Nome não encontrado
Ácidos graxos trans,g,"0,02","0,01","0,00","0,03","0,02",BRC0215T,Nome não encontrado
Cálcio,mg,"23,0","8,06","3,91","32,2","18,4",BRC0215T,Nome não encontrado
Ferro,mg,"1,18","0,41","0,20","1,65","0,95",BRC0215T,Nome não encontrado
Sódio,mg,341,119,"58,1",478,273,BRC0215T,Nome não encontrado
Magnésio,mg,"33,3","11,7","5,67","46,7","26,7",BRC0215T,Nome não encontrado
Fósforo,mg,110,"38,7","18,8",154,"88,5",BRC0215T,Nome não encontrado
Potássio,mg,276,"96,6","46,9",386,220,BRC0215T,Nome não encontrado
Manganês,mg,"0,27","0,09","0,05","0,37","0,21",BRC0215T,Nome não encontrado
Zinco,mg,"1,72","0,60","0,29","2,41","1,38",BRC0215T,Nome não encontrado
Cobre,mg,"0,42","0,15","0,07","0,58","0,33",BRC0215T,Nome não encontrado
Selênio,mcg,"7,68","2,69","1,31","10,8","6,15",BRC0215T,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00","0,00","0,00",BRC0215T,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00","0,00","0,00",BRC0215T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0215T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,25","0,09","0,04","0,35","0,20",BRC0215T,Nome não encontrado
Tiamina,mg,"0,19","0,07","0,03","0,27","0,16",BRC0215T,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,traços,BRC0215T,Nome não encontrado
Niacina,mg,"0,59","0,21","0,10","0,83","0,47",BRC0215T,Nome não encontrado
Vitamina B6,mg,"0,03","0,01","0,01","0,04","0,03",BRC0215T,Nome não encontrado
Vitamina B12,mcg,"0,15","0,05","0,03","0,21","0,12",BRC0215T,Nome não encontrado
Vitamina C,mg,"0,77","0,27","0,13","1,08","0,62",BRC0215T,Nome não encontrado
Equivalente de folato,mcg,"62,8","22,0","10,7","87,9","50,2",BRC0215T,Nome não encontrado
Sal de adição,g,,,,,,BRC0215T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0215T,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,BRC0215T,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,BRC0215T,Nome não encontrado
Proteína animal,g,-,-,-,-,-,BRC0215T,Nome não encontrado
