componente,unidade,Valor por 100g,Colher servir cheia (60 g),Colher servir rasa (40 g),Colher sopa cheia (30 g),Escumadeira cheia (80 g),Escumadeira rasa (50 g),codigo_alimento,nome_alimento
Energia,kJ,392,235,156,117,313,196,BRC0315B,Nome não encontrado
Energia,kcal,94,56,37,28,75,46,BRC0315B,Nome não encontrado
Umidade,g,"81,2","48,7","32,5","24,4","65,0","40,6",BRC0315B,Nome não encontrado
Carboidrato total,g,"11,6","6,97","4,65","3,48","9,29","5,81",BRC0315B,Nome não encontrado
Carboidrato disponível,g,"10,2","6,13","4,09","3,07","8,18","5,11",BRC0315B,Nome não encontrado
Proteína,g,"1,26","0,76","0,50","0,38","1,01","0,63",BRC0315B,Nome não encontrado
Lipídios,g,"5,02","3,01","2,01","1,51","4,02","2,51",BRC0315B,Nome não encontrado
Fibra alimentar,g,"1,39","0,84","0,56","0,42","1,11","0,70",BRC0315B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0315B,Nome não encontrado
Cinzas,g,"0,90","0,54","0,36","0,27","0,72","0,45",BRC0315B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0315B,Nome não encontrado
Ácidos graxos saturados,g,"0,77","0,46","0,31","0,23","0,62","0,38",BRC0315B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,16","0,70","0,46","0,35","0,93","0,58",BRC0315B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"3,01","1,80","1,20","0,90","2,40","1,50",BRC0315B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0315B,Nome não encontrado
Cálcio,mg,"3,56","2,13","1,42","1,07","2,85","1,78",BRC0315B,Nome não encontrado
Ferro,mg,"0,19","0,12","0,08","0,06","0,16","0,10",BRC0315B,Nome não encontrado
Sódio,mg,189,113,"76,0","57,0",151,"95,0",BRC0315B,Nome não encontrado
Magnésio,mg,"5,32","3,19","2,13","1,59","4,25","2,66",BRC0315B,Nome não encontrado
Fósforo,mg,"23,8","14,3","9,53","7,15","19,1","11,9",BRC0315B,Nome não encontrado
Potássio,mg,219,131,"87,9","65,9",175,109,BRC0315B,Nome não encontrado
Manganês,mg,"0,07","0,04","0,03","0,02","0,05","0,03",BRC0315B,Nome não encontrado
Zinco,mg,"0,19","0,11","0,07","0,06","0,15","0,09",BRC0315B,Nome não encontrado
Cobre,mg,"0,07","0,04","0,03","0,02","0,06","0,04",BRC0315B,Nome não encontrado
Selênio,mcg,"0,19","0,11","0,07","0,06","0,15","0,09",BRC0315B,Nome não encontrado
Vitamina A (RE),mcg,traços,traços,traços,traços,traços,traços,BRC0315B,Nome não encontrado
Vitamina A (RAE),mcg,traços,traços,traços,traços,traços,traços,BRC0315B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0315B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,60","0,36","0,24","0,18","0,48","0,30",BRC0315B,Nome não encontrado
Tiamina,mg,"0,05","0,03","0,02","0,01","0,04","0,02",BRC0315B,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,traços,traços,BRC0315B,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,traços,traços,BRC0315B,Nome não encontrado
Vitamina B6,mg,"0,08","0,05","0,03","0,02","0,07","0,04",BRC0315B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0315B,Nome não encontrado
Vitamina C,mg,"3,68","2,21","1,47","1,10","2,94","1,84",BRC0315B,Nome não encontrado
Equivalente de folato,mcg,"5,33","3,20","2,13","1,60","4,26","2,67",BRC0315B,Nome não encontrado
Sal de adição,g,"0,32","0,19","0,13","0,10","0,26","0,16",BRC0315B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0315B,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,-,BRC0315B,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,-,BRC0315B,Nome não encontrado
Proteína animal,g,-,-,-,-,-,-,BRC0315B,Nome não encontrado
