componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (50 g),codigo_alimento,nome_alimento
Energia,kJ,984,492,BRC0108K,Nome não encontrado
Energia,kcal,232,116,BRC0108K,Nome não encontrado
Umidade,g,"39,3","19,7",BRC0108K,Nome não encontrado
Carboidrato total,g,"54,8","27,4",BRC0108K,Nome não encontrado
Carboidrato disponível,g,"49,1","24,6",BRC0108K,Nome não encontrado
Proteína,g,"4,80","2,40",BRC0108K,Nome não encontrado
Lipídios,g,"0,60","0,30",BRC0108K,Nome não encontrado
Fibra alimentar,g,"5,70","2,85",BRC0108K,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0108K,Nome não encontrado
Cinzas,g,"0,50","0,25",BRC0108K,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0108K,Nome não encontrado
Ácidos graxos saturados,g,"0,09","0,05",BRC0108K,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,02","0,01",BRC0108K,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,16","0,08",BRC0108K,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0108K,Nome não encontrado
Cálcio,mg,"19,0","9,50",BRC0108K,Nome não encontrado
Ferro,mg,"1,50","0,75",BRC0108K,Nome não encontrado
Sódio,mg,"56,0","28,0",BRC0108K,Nome não encontrado
Magnésio,mg,"23,0","11,5",BRC0108K,Nome não encontrado
Fósforo,mg,"73,0","36,5",BRC0108K,Nome não encontrado
Potássio,mg,160,"80,0",BRC0108K,Nome não encontrado
Manganês,mg,"0,40","0,20",BRC0108K,Nome não encontrado
Zinco,mg,"0,70","0,35",BRC0108K,Nome não encontrado
Cobre,mg,"0,20","0,10",BRC0108K,Nome não encontrado
Selênio,mcg,,traços,BRC0108K,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0108K,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0108K,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0108K,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,10","0,05",BRC0108K,Nome não encontrado
Tiamina,mg,"0,02","0,01",BRC0108K,Nome não encontrado
Riboflavina,mg,"0,03","0,02",BRC0108K,Nome não encontrado
Niacina,mg,"0,10","0,05",BRC0108K,Nome não encontrado
Vitamina B6,mg,"0,30","0,15",BRC0108K,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0108K,Nome não encontrado
Vitamina C,mg,traços,traços,BRC0108K,Nome não encontrado
Equivalente de folato,mcg,"8,00","4,00",BRC0108K,Nome não encontrado
Sal de adição,g,,traços,BRC0108K,Nome não encontrado
Açúcar de adição,g,,traços,BRC0108K,Nome não encontrado
Gordura de adição,g,-,-,BRC0108K,Nome não encontrado
Proteína vegetal,g,-,-,BRC0108K,Nome não encontrado
Proteína animal,g,-,-,BRC0108K,Nome não encontrado
