componente,unidade,Valor por 100g,Colher servir cheia (50 g),Colher servir rasa (25 g),Escumadeira cheia (110 g),Escumadeira rasa (90 g),codigo_alimento,nome_alimento
Energia,kJ,689,344,172,757,620,BRC0962A,Nome não encontrado
Energia,kcal,164,82,41,180,147,BRC0962A,Nome não encontrado
Umidade,g,"64,3","32,1","16,1","70,7","57,8",BRC0962A,Nome não encontrado
Carboidrato total,g,"18,9","9,44","4,72","20,8","17,0",BRC0962A,Nome não encontrado
Carboidrato disponível,g,"16,4","8,20","4,10","18,0","14,8",BRC0962A,Nome não encontrado
Proteína,g,"9,78","4,89","2,45","10,8","8,80",BRC0962A,Nome não encontrado
Lipídios,g,"6,06","3,03","1,51","6,66","5,45",BRC0962A,Nome não encontrado
Fibra alimentar,g,"2,47","1,24","0,62","2,72","2,23",BRC0962A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0962A,Nome não encontrado
Cinzas,g,"1,03","0,51","0,26","1,13","0,92",BRC0962A,Nome não encontrado
Colesterol,mg,"14,6","7,32","3,66","16,1","13,2",BRC0962A,Nome não encontrado
Ácidos graxos saturados,g,"0,99","0,49","0,25","1,09","0,89",BRC0962A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"3,43","1,71","0,86","3,77","3,09",BRC0962A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,42","0,71","0,35","1,56","1,28",BRC0962A,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,01","0,00","0,01","0,01",BRC0962A,Nome não encontrado
Cálcio,mg,"8,82","4,41","2,21","9,71","7,94",BRC0962A,Nome não encontrado
Ferro,mg,"0,66","0,33","0,16","0,72","0,59",BRC0962A,Nome não encontrado
Sódio,mg,278,139,"69,5",305,250,BRC0962A,Nome não encontrado
Magnésio,mg,"15,9","7,94","3,97","17,5","14,3",BRC0962A,Nome não encontrado
Fósforo,mg,"86,4","43,2","21,6","95,0","77,7",BRC0962A,Nome não encontrado
Potássio,mg,105,"52,6","26,3",115,"94,7",BRC0962A,Nome não encontrado
Manganês,mg,"0,20","0,10","0,05","0,22","0,18",BRC0962A,Nome não encontrado
Zinco,mg,"0,45","0,23","0,11","0,50","0,41",BRC0962A,Nome não encontrado
Cobre,mg,"0,06","0,03","0,01","0,06","0,05",BRC0962A,Nome não encontrado
Selênio,mcg,"15,0","7,49","3,74","16,5","13,5",BRC0962A,Nome não encontrado
Vitamina A (RE),mcg,"2,96","1,48","0,74","3,25","2,66",BRC0962A,Nome não encontrado
Vitamina A (RAE),mcg,"1,48","0,74","0,37","1,63","1,33",BRC0962A,Nome não encontrado
Vitamina D,mcg,"1,35","0,68","0,34","1,49","1,22",BRC0962A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,27","0,64","0,32","1,40","1,14",BRC0962A,Nome não encontrado
Tiamina,mg,"0,10","0,05","0,03","0,11","0,09",BRC0962A,Nome não encontrado
Riboflavina,mg,"0,05","0,02","0,01","0,05","0,04",BRC0962A,Nome não encontrado
Niacina,mg,"2,17","1,08","0,54","2,38","1,95",BRC0962A,Nome não encontrado
Vitamina B6,mg,"0,06","0,03","0,01","0,06","0,05",BRC0962A,Nome não encontrado
Vitamina B12,mcg,"0,48","0,24","0,12","0,52","0,43",BRC0962A,Nome não encontrado
Vitamina C,mg,"0,18","0,09","0,04","0,20","0,16",BRC0962A,Nome não encontrado
Equivalente de folato,mcg,"13,5","6,77","3,38","14,9","12,2",BRC0962A,Nome não encontrado
Sal de adição,g,"0,47","0,24","0,12","0,52","0,42",BRC0962A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0962A,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,BRC0962A,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,BRC0962A,Nome não encontrado
Proteína animal,g,-,-,-,-,-,BRC0962A,Nome não encontrado
