componente,unidade,Valor por 100g,Colher sopa cheia (30 g),Colher sopa rasa (15 g),codigo_alimento,nome_alimento
Energia,kJ,973,291,145,BRC0009G,Nome não encontrado
Energia,kcal,235,70,35,BRC0009G,Nome não encontrado
Umidade,g,"68,0","20,4","10,2",BRC0009G,Nome não encontrado
Carboidrato total,g,"2,24","0,67","0,34",BRC0009G,Nome não encontrado
Carboidrato disponível,g,"2,24","0,67","0,34",BRC0009G,Nome não encontrado
Proteína,g,"6,00","1,80","0,90",BRC0009G,Nome não encontrado
Lipídios,g,"22,5","6,75","3,38",BRC0009G,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00",BRC0009G,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0009G,Nome não encontrado
Cinzas,g,"1,26","0,38","0,19",BRC0009G,Nome não encontrado
Colesterol,mg,"70,8","21,2","10,6",BRC0009G,Nome não encontrado
Ácidos graxos saturados,g,"14,2","4,25","2,13",BRC0009G,Nome não encontrado
Ácidos graxos monoinsaturados,g,"6,35","1,91","0,95",BRC0009G,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,81","0,24","0,12",BRC0009G,Nome não encontrado
Ácidos graxos trans,g,,,,BRC0009G,Nome não encontrado
Cálcio,mg,"54,7","16,4","8,21",BRC0009G,Nome não encontrado
Ferro,mg,"0,87","0,26","0,13",BRC0009G,Nome não encontrado
Sódio,mg,336,100,"50,4",BRC0009G,Nome não encontrado
Magnésio,mg,"4,63","1,39","0,69",BRC0009G,Nome não encontrado
Fósforo,mg,"70,2","21,1","10,5",BRC0009G,Nome não encontrado
Potássio,mg,"86,4","25,9","13,0",BRC0009G,Nome não encontrado
Manganês,mg,"0,00","0,00","0,00",BRC0009G,Nome não encontrado
Zinco,mg,"0,39","0,12","0,06",BRC0009G,Nome não encontrado
Cobre,mg,"0,00","0,00","0,00",BRC0009G,Nome não encontrado
Selênio,mcg,,,,BRC0009G,Nome não encontrado
Vitamina A (RE),mcg,,,,BRC0009G,Nome não encontrado
Vitamina A (RAE),mcg,237,"71,3","35,6",BRC0009G,Nome não encontrado
Vitamina D,mcg,"0,39","0,12","0,06",BRC0009G,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,61","0,18","0,09",BRC0009G,Nome não encontrado
Tiamina,mg,"0,01","0,00","0,00",BRC0009G,Nome não encontrado
Riboflavina,mg,"0,14","0,04","0,02",BRC0009G,Nome não encontrado
Niacina,mg,"0,68","0,20","0,10",BRC0009G,Nome não encontrado
Vitamina B6,mg,"0,03","0,01","0,00",BRC0009G,Nome não encontrado
Vitamina B12,mcg,"0,28","0,09","0,04",BRC0009G,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00",BRC0009G,Nome não encontrado
Equivalente de folato,mcg,"8,53","2,56","1,28",BRC0009G,Nome não encontrado
Sal de adição,g,,,,BRC0009G,Nome não encontrado
Açúcar de adição,g,,,,BRC0009G,Nome não encontrado
Gordura de adição,g,,,,BRC0009G,Nome não encontrado
Proteína vegetal,g,"0,00","0,00","0,00",BRC0009G,Nome não encontrado
Proteína animal,g,"6,00","1,80","0,90",BRC0009G,Nome não encontrado
