componente,unidade,Valor por 100g,Porção Média (30 g),codigo_alimento,nome_alimento
Energia,kJ,1550,464,BRC0265C,Nome não encontrado
Energia,kcal,366,109,BRC0265C,Nome não encontrado
Umidade,g,"3,00","0,90",BRC0265C,Nome não encontrado
Carboidrato total,g,"89,5","26,9",BRC0265C,Nome não encontrado
Carboidrato disponível,g,"82,0","24,6",BRC0265C,Nome não encontrado
Proteína,g,"4,25","1,28",BRC0265C,Nome não encontrado
Lipídios,g,"0,63","0,19",BRC0265C,Nome não encontrado
Fibra alimentar,g,"7,50","2,25",BRC0265C,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0265C,Nome não encontrado
Cinzas,g,"2,60","0,78",BRC0265C,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0265C,Nome não encontrado
Ácidos graxos saturados,g,"0,20","0,06",BRC0265C,Nome não encontrado
Ácidos graxos monoinsaturados,g,traços,traços,BRC0265C,Nome não encontrado
Ácidos graxos poliinsaturados,g,traços,traços,BRC0265C,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0265C,Nome não encontrado
Cálcio,mg,"14,4","4,31",BRC0265C,Nome não encontrado
Ferro,mg,"1,08","0,32",BRC0265C,Nome não encontrado
Sódio,mg,traços,traços,BRC0265C,Nome não encontrado
Magnésio,mg,103,"31,2",BRC0265C,Nome não encontrado
Fósforo,mg,"77,1","23,1",BRC0265C,Nome não encontrado
Potássio,mg,1161,348,BRC0265C,Nome não encontrado
Manganês,mg,"1,69","0,51",BRC0265C,Nome não encontrado
Zinco,mg,"0,57","0,17",BRC0265C,Nome não encontrado
Cobre,mg,"0,27","0,08",BRC0265C,Nome não encontrado
Selênio,mcg,"0,45","0,14",BRC0265C,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0265C,Nome não encontrado
Vitamina A (RAE),mcg,"40,2","12,1",BRC0265C,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0265C,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,19","0,06",BRC0265C,Nome não encontrado
Tiamina,mg,traços,traços,BRC0265C,Nome não encontrado
Riboflavina,mg,traços,traços,BRC0265C,Nome não encontrado
Niacina,mg,traços,traços,BRC0265C,Nome não encontrado
Vitamina B6,mg,"0,42","0,13",BRC0265C,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0265C,Nome não encontrado
Vitamina C,mg,"37,7","11,3",BRC0265C,Nome não encontrado
Equivalente de folato,mcg,"77,1","23,1",BRC0265C,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0265C,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0265C,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0265C,Nome não encontrado
Proteína vegetal,g,"4,25","1,28",BRC0265C,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0265C,Nome não encontrado
