componente,unidade,Valor por 100g,Colher servir cheia (45 g),Colher servir rasa (35 g),Colher sopa cheia (20 g),Colher sopa rasa (12 g),codigo_alimento,nome_alimento
Energia,kJ,235,105,82,47,28,BRC1028B,Nome não encontrado
Energia,kcal,57,25,19,11,6,BRC1028B,Nome não encontrado
Umidade,g,"89,6","40,3","31,4","17,9","10,8",BRC1028B,Nome não encontrado
Carboidrato total,g,"4,68","2,10","1,64","0,94","0,56",BRC1028B,Nome não encontrado
Carboidrato disponível,g,"3,06","1,38","1,07","0,61","0,37",BRC1028B,Nome não encontrado
Proteína,g,"1,18","0,53","0,41","0,24","0,14",BRC1028B,Nome não encontrado
Lipídios,g,"3,74","1,68","1,31","0,75","0,45",BRC1028B,Nome não encontrado
Fibra alimentar,g,"1,61","0,73","0,56","0,32","0,19",BRC1028B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC1028B,Nome não encontrado
Cinzas,g,"0,80","0,36","0,28","0,16","0,10",BRC1028B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00",BRC1028B,Nome não encontrado
Ácidos graxos saturados,g,"0,55","0,25","0,19","0,11","0,07",BRC1028B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,69","1,21","0,94","0,54","0,32",BRC1028B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,44","0,20","0,16","0,09","0,05",BRC1028B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00","0,00",BRC1028B,Nome não encontrado
Cálcio,mg,"28,2","12,7","9,89","5,65","3,39",BRC1028B,Nome não encontrado
Ferro,mg,"0,36","0,16","0,12","0,07","0,04",BRC1028B,Nome não encontrado
Sódio,mg,129,"58,2","45,3","25,9","15,5",BRC1028B,Nome não encontrado
Magnésio,mg,"11,6","5,23","4,07","2,33","1,40",BRC1028B,Nome não encontrado
Fósforo,mg,"37,2","16,8","13,0","7,45","4,47",BRC1028B,Nome não encontrado
Potássio,mg,211,"95,3","74,1","42,3","25,4",BRC1028B,Nome não encontrado
Manganês,mg,"0,16","0,07","0,06","0,03","0,02",BRC1028B,Nome não encontrado
Zinco,mg,"0,17","0,07","0,06","0,03","0,02",BRC1028B,Nome não encontrado
Cobre,mg,"0,58","0,26","0,20","0,12","0,07",BRC1028B,Nome não encontrado
Selênio,mcg,"0,40","0,18","0,14","0,08","0,05",BRC1028B,Nome não encontrado
Vitamina A (RE),mcg,"41,4","18,6","14,5","8,29","4,97",BRC1028B,Nome não encontrado
Vitamina A (RAE),mcg,"20,7","9,32","7,25","4,14","2,49",BRC1028B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00",BRC1028B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,72","0,32","0,25","0,14","0,09",BRC1028B,Nome não encontrado
Tiamina,mg,"0,05","0,02","0,02","0,01","0,01",BRC1028B,Nome não encontrado
Riboflavina,mg,"0,00","0,00","0,00","0,00","0,00",BRC1028B,Nome não encontrado
Niacina,mg,"0,00","0,00","0,00","0,00","0,00",BRC1028B,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,traços,traços,BRC1028B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00",BRC1028B,Nome não encontrado
Vitamina C,mg,"27,9","12,5","9,75","5,57","3,34",BRC1028B,Nome não encontrado
Equivalente de folato,mcg,"12,0","5,39","4,19","2,40","1,44",BRC1028B,Nome não encontrado
Sal de adição,g,"0,32","0,14","0,11","0,06","0,04",BRC1028B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC1028B,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,BRC1028B,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,BRC1028B,Nome não encontrado
Proteína animal,g,-,-,-,-,-,BRC1028B,Nome não encontrado
