componente,unidade,Valor por 100g,codigo_alimento,nome_alimento
Energia,kJ,1061,BRC0124K,Nome não encontrado
Energia,kcal,253,BRC0124K,Nome não encontrado
Umidade,g,"45,9",BRC0124K,Nome não encontrado
Carboidrato total,g,"39,0",BRC0124K,Nome não encontrado
Carboidrato disponível,g,"37,6",BRC0124K,Nome não encontrado
Proteína,g,"5,92",BRC0124K,Nome não encontrado
Lipídios,g,"8,40",BRC0124K,Nome não encontrado
Fibra alimentar,g,"1,46",BRC0124K,Nome não encontrado
Álcool,g,"0,00",BRC0124K,Nome não encontrado
Cinzas,g,"0,74",BRC0124K,Nome não encontrado
Colesterol,mg,"67,5",BRC0124K,Nome não encontrado
Ácidos graxos saturados,g,"4,41",BRC0124K,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,26",BRC0124K,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,54",BRC0124K,Nome não encontrado
Ácidos graxos trans,g,"0,25",BRC0124K,Nome não encontrado
Cálcio,mg,"21,7",BRC0124K,Nome não encontrado
Ferro,mg,"1,98",BRC0124K,Nome não encontrado
Sódio,mg,108,BRC0124K,Nome não encontrado
Magnésio,mg,"16,1",BRC0124K,Nome não encontrado
Fósforo,mg,"77,7",BRC0124K,Nome não encontrado
Potássio,mg,"99,0",BRC0124K,Nome não encontrado
Manganês,mg,"0,32",BRC0124K,Nome não encontrado
Zinco,mg,"0,57",BRC0124K,Nome não encontrado
Cobre,mg,"0,08",BRC0124K,Nome não encontrado
Selênio,mcg,"4,77",BRC0124K,Nome não encontrado
Vitamina A (RE),mcg,"97,8",BRC0124K,Nome não encontrado
Vitamina A (RAE),mcg,"95,5",BRC0124K,Nome não encontrado
Vitamina D,mcg,"0,25",BRC0124K,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,30",BRC0124K,Nome não encontrado
Tiamina,mg,"0,11",BRC0124K,Nome não encontrado
Riboflavina,mg,"0,06",BRC0124K,Nome não encontrado
Niacina,mg,"0,35",BRC0124K,Nome não encontrado
Vitamina B6,mg,"0,01",BRC0124K,Nome não encontrado
Vitamina B12,mcg,"0,15",BRC0124K,Nome não encontrado
Vitamina C,mg,"19,6",BRC0124K,Nome não encontrado
Equivalente de folato,mcg,"14,0",BRC0124K,Nome não encontrado
Sal de adição,g,"0,21",BRC0124K,Nome não encontrado
Açúcar de adição,g,"3,75",BRC0124K,Nome não encontrado
Gordura de adição,g,-,BRC0124K,Nome não encontrado
Proteína vegetal,g,-,BRC0124K,Nome não encontrado
Proteína animal,g,-,BRC0124K,Nome não encontrado
