componente,unidade,Valor por 100g,Concha cheia (150 g),codigo_alimento,nome_alimento
Energia,kJ,666,999,BRC0221F,Nome não encontrado
Energia,kcal,160,239,BRC0221F,Nome não encontrado
Umidade,g,"71,2",106,BRC0221F,Nome não encontrado
Carboidrato total,g,"0,09","0,14",BRC0221F,Nome não encontrado
Carboidrato disponível,g,"0,09","0,14",BRC0221F,Nome não encontrado
Proteína,g,"18,3","27,4",BRC0221F,Nome não encontrado
Lipídios,g,"9,53","14,3",BRC0221F,Nome não encontrado
Fibra alimentar,g,"0,15","0,22",BRC0221F,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0221F,Nome não encontrado
Cinzas,g,"0,79","1,19",BRC0221F,Nome não encontrado
Colesterol,mg,"60,1","90,2",BRC0221F,Nome não encontrado
Ácidos graxos saturados,g,"3,33","4,99",BRC0221F,Nome não encontrado
Ácidos graxos monoinsaturados,g,"4,27","6,40",BRC0221F,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,41","2,11",BRC0221F,Nome não encontrado
Ácidos graxos trans,g,"0,06","0,09",BRC0221F,Nome não encontrado
Cálcio,mg,"14,5","21,8",BRC0221F,Nome não encontrado
Ferro,mg,"2,44","3,67",BRC0221F,Nome não encontrado
Sódio,mg,"47,6","71,4",BRC0221F,Nome não encontrado
Magnésio,mg,"21,4","32,1",BRC0221F,Nome não encontrado
Fósforo,mg,169,253,BRC0221F,Nome não encontrado
Potássio,mg,294,441,BRC0221F,Nome não encontrado
Manganês,mg,"0,05","0,08",BRC0221F,Nome não encontrado
Zinco,mg,"4,83","7,24",BRC0221F,Nome não encontrado
Cobre,mg,"0,17","0,25",BRC0221F,Nome não encontrado
Selênio,mcg,,-,BRC0221F,Nome não encontrado
Vitamina A (RE),mcg,,-,BRC0221F,Nome não encontrado
Vitamina A (RAE),mcg,,-,BRC0221F,Nome não encontrado
Vitamina D,mcg,,-,BRC0221F,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,-,BRC0221F,Nome não encontrado
Tiamina,mg,"0,03","0,05",BRC0221F,Nome não encontrado
Riboflavina,mg,"0,04","0,06",BRC0221F,Nome não encontrado
Niacina,mg,"2,09","3,14",BRC0221F,Nome não encontrado
Vitamina B6,mg,traços,traços,BRC0221F,Nome não encontrado
Vitamina B12,mcg,,-,BRC0221F,Nome não encontrado
Vitamina C,mg,traços,traços,BRC0221F,Nome não encontrado
Equivalente de folato,mcg,,-,BRC0221F,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0221F,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0221F,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0221F,Nome não encontrado
Proteína vegetal,g,"0,00","0,00",BRC0221F,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0221F,Nome não encontrado
