componente,unidade,Valor por 100g,Colher chá cheia (8 g),Colher chá rasa (4 g),Colher sobremesa cheia (23 g),Colher sobremesa rasa (13 g),Colher sopa cheia (32 g),Colher sopa rasa (19 g),codigo_alimento,nome_alimento
Energia,kJ,3024,241,120,695,393,967,574,BRC0011D,Nome não encontrado
Energia,kcal,736,58,29,169,95,235,139,BRC0011D,Nome não encontrado
Umidade,g,"19,6","1,57","0,78","4,50","2,55","6,27","3,72",BRC0011D,Nome não encontrado
Carboidrato total,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0011D,Nome não encontrado
Carboidrato disponível,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0011D,Nome não encontrado
Proteína,g,traços,traços,traços,traços,traços,traços,traços,BRC0011D,Nome não encontrado
Lipídios,g,"81,7","6,54","3,27","18,8","10,6","26,2","15,5",BRC0011D,Nome não encontrado
Fibra alimentar,g,traços,traços,traços,traços,traços,traços,traços,BRC0011D,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0011D,Nome não encontrado
Cinzas,g,"0,16","0,01","0,01","0,04","0,02","0,05","0,03",BRC0011D,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0011D,Nome não encontrado
Ácidos graxos saturados,g,"18,1","1,44","0,72","4,15","2,35","5,78","3,43",BRC0011D,Nome não encontrado
Ácidos graxos monoinsaturados,g,"22,1","1,76","0,88","5,07","2,87","7,06","4,19",BRC0011D,Nome não encontrado
Ácidos graxos poliinsaturados,g,"25,9","2,08","1,04","5,97","3,37","8,30","4,93",BRC0011D,Nome não encontrado
Ácidos graxos trans,g,"12,1","0,97","0,48","2,78","1,57","3,87","2,30",BRC0011D,Nome não encontrado
Cálcio,mg,"2,60","0,21","0,10","0,60","0,34","0,83","0,49",BRC0011D,Nome não encontrado
Ferro,mg,"0,05","0,00","0,00","0,01","0,01","0,02","0,01",BRC0011D,Nome não encontrado
Sódio,mg,"77,9","6,23","3,12","17,9","10,1","24,9","14,8",BRC0011D,Nome não encontrado
Magnésio,mg,"0,54","0,04","0,02","0,12","0,07","0,17","0,10",BRC0011D,Nome não encontrado
Fósforo,mg,"3,75","0,30","0,15","0,86","0,49","1,20","0,71",BRC0011D,Nome não encontrado
Potássio,mg,"1,77","0,14","0,07","0,41","0,23","0,57","0,34",BRC0011D,Nome não encontrado
Manganês,mg,traços,traços,traços,traços,traços,traços,traços,BRC0011D,Nome não encontrado
Zinco,mg,traços,traços,traços,traços,traços,traços,traços,BRC0011D,Nome não encontrado
Cobre,mg,traços,traços,traços,traços,traços,traços,traços,BRC0011D,Nome não encontrado
Selênio,mcg,,,,,,,,BRC0011D,Nome não encontrado
Vitamina A (RE),mcg,534,"42,8","21,4",122,"69,5",171,101,BRC0011D,Nome não encontrado
Vitamina A (RAE),mcg,534,"42,8","21,4",122,"69,5",171,101,BRC0011D,Nome não encontrado
Vitamina D,mcg,,,,,,,,BRC0011D,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"6,51","0,52","0,26","1,50","0,85","2,08","1,24",BRC0011D,Nome não encontrado
Tiamina,mg,traços,traços,traços,traços,traços,traços,traços,BRC0011D,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,traços,traços,traços,BRC0011D,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,traços,traços,traços,BRC0011D,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,traços,traços,traços,traços,BRC0011D,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0011D,Nome não encontrado
Vitamina C,mg,traços,traços,traços,traços,traços,traços,traços,BRC0011D,Nome não encontrado
Equivalente de folato,mcg,"1,09","0,09","0,04","0,25","0,14","0,35","0,21",BRC0011D,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0011D,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0011D,Nome não encontrado
Gordura de adição,g,"81,7","6,54","3,27","18,8","10,6","26,2","15,5",BRC0011D,Nome não encontrado
Proteína vegetal,g,traços,traços,traços,traços,traços,traços,traços,BRC0011D,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0011D,Nome não encontrado
