componente,unidade,Valor por 100g,Colher servir cheia (55 g),Colher servir rasa (40 g),codigo_alimento,nome_alimento
Energia,kJ,681,374,272,BRC0901A,Nome não encontrado
Energia,kcal,163,89,65,BRC0901A,Nome não encontrado
Umidade,g,"69,0","37,9","27,6",BRC0901A,Nome não encontrado
Carboidrato total,g,"18,2","10,0","7,29",BRC0901A,Nome não encontrado
Carboidrato disponível,g,"16,1","8,83","6,42",BRC0901A,Nome não encontrado
Proteína,g,"2,39","1,32","0,96",BRC0901A,Nome não encontrado
Lipídios,g,"9,47","5,21","3,79",BRC0901A,Nome não encontrado
Fibra alimentar,g,"2,17","1,19","0,87",BRC0901A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0901A,Nome não encontrado
Cinzas,g,"0,93","0,51","0,37",BRC0901A,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0901A,Nome não encontrado
Ácidos graxos saturados,g,"5,81","3,20","2,32",BRC0901A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,97","0,53","0,39",BRC0901A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,39","0,77","0,56",BRC0901A,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,01","0,00",BRC0901A,Nome não encontrado
Cálcio,mg,"4,54","2,50","1,82",BRC0901A,Nome não encontrado
Ferro,mg,"0,29","0,16","0,11",BRC0901A,Nome não encontrado
Sódio,mg,196,108,"78,6",BRC0901A,Nome não encontrado
Magnésio,mg,"23,5","12,9","9,39",BRC0901A,Nome não encontrado
Fósforo,mg,"44,1","24,3","17,7",BRC0901A,Nome não encontrado
Potássio,mg,"96,2","52,9","38,5",BRC0901A,Nome não encontrado
Manganês,mg,"0,28","0,16","0,11",BRC0901A,Nome não encontrado
Zinco,mg,"0,41","0,23","0,16",BRC0901A,Nome não encontrado
Cobre,mg,"0,07","0,04","0,03",BRC0901A,Nome não encontrado
Selênio,mcg,"1,67","0,92","0,67",BRC0901A,Nome não encontrado
Vitamina A (RE),mcg,,,,BRC0901A,Nome não encontrado
Vitamina A (RAE),mcg,,,,BRC0901A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0901A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,41","0,23","0,17",BRC0901A,Nome não encontrado
Tiamina,mg,"0,06","0,03","0,02",BRC0901A,Nome não encontrado
Riboflavina,mg,"0,00","0,00","0,00",BRC0901A,Nome não encontrado
Niacina,mg,"0,00","0,00","0,00",BRC0901A,Nome não encontrado
Vitamina B6,mg,"0,07","0,04","0,03",BRC0901A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0901A,Nome não encontrado
Vitamina C,mg,"0,97","0,53","0,39",BRC0901A,Nome não encontrado
Equivalente de folato,mcg,"8,29","4,56","3,32",BRC0901A,Nome não encontrado
Sal de adição,g,"0,47","0,26","0,19",BRC0901A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0901A,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0901A,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0901A,Nome não encontrado
Proteína animal,g,-,-,-,BRC0901A,Nome não encontrado
