componente,unidade,Valor por 100g,Concha cheia (200 g),Concha rasa (130 g),codigo_alimento,nome_alimento
Energia,kJ,466,931,605,BRC0893F,Nome não encontrado
Energia,kcal,111,221,143,BRC0893F,Nome não encontrado
Umidade,g,"74,9",149,"97,4",BRC0893F,Nome não encontrado
Carboidrato total,g,"9,70","19,4","12,6",BRC0893F,Nome não encontrado
Carboidrato disponível,g,"7,44","14,9","9,68",BRC0893F,Nome não encontrado
Proteína,g,"12,1","24,1","15,7",BRC0893F,Nome não encontrado
Lipídios,g,"3,13","6,27","4,07",BRC0893F,Nome não encontrado
Fibra alimentar,g,"2,25","4,51","2,93",BRC0893F,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0893F,Nome não encontrado
Cinzas,g,"0,19","0,39","0,25",BRC0893F,Nome não encontrado
Colesterol,mg,"98,2",196,127,BRC0893F,Nome não encontrado
Ácidos graxos saturados,g,"1,18","2,35","1,53",BRC0893F,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,85","1,70","1,11",BRC0893F,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,82","1,63","1,06",BRC0893F,Nome não encontrado
Ácidos graxos trans,g,"0,06","0,12","0,08",BRC0893F,Nome não encontrado
Cálcio,mg,"38,9","77,8","50,6",BRC0893F,Nome não encontrado
Ferro,mg,"1,52","3,03","1,97",BRC0893F,Nome não encontrado
Sódio,mg,"17,4","34,8","22,6",BRC0893F,Nome não encontrado
Magnésio,mg,"25,1","50,1","32,6",BRC0893F,Nome não encontrado
Fósforo,mg,"66,9",133,"87,0",BRC0893F,Nome não encontrado
Potássio,mg,238,477,310,BRC0893F,Nome não encontrado
Manganês,mg,"0,04","0,07","0,05",BRC0893F,Nome não encontrado
Zinco,mg,"1,91","3,83","2,49",BRC0893F,Nome não encontrado
Cobre,mg,"0,29","0,59","0,38",BRC0893F,Nome não encontrado
Selênio,mcg,"16,2","32,3","21,0",BRC0893F,Nome não encontrado
Vitamina A (RE),mcg,"7,69","15,4","10,0",BRC0893F,Nome não encontrado
Vitamina A (RAE),mcg,"3,85","7,69","5,00",BRC0893F,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0893F,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,50","1,00","0,65",BRC0893F,Nome não encontrado
Tiamina,mg,"0,04","0,09","0,06",BRC0893F,Nome não encontrado
Riboflavina,mg,"0,02","0,03","0,02",BRC0893F,Nome não encontrado
Niacina,mg,"0,94","1,87","1,22",BRC0893F,Nome não encontrado
Vitamina B6,mg,"0,05","0,10","0,06",BRC0893F,Nome não encontrado
Vitamina B12,mcg,"0,19","0,38","0,25",BRC0893F,Nome não encontrado
Vitamina C,mg,"0,96","1,93","1,25",BRC0893F,Nome não encontrado
Equivalente de folato,mcg,"30,1","60,1","39,1",BRC0893F,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0893F,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0893F,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0893F,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0893F,Nome não encontrado
Proteína animal,g,-,-,-,BRC0893F,Nome não encontrado
