componente,unidade,Valor por 100g,Colher sopa cheia (20 g),Concha cheia (130 g),codigo_alimento,nome_alimento
Energia,kJ,190,38,247,BRC0125T,Nome não encontrado
Energia,kcal,46,9,59,BRC0125T,Nome não encontrado
Umidade,g,"86,4","17,3",112,BRC0125T,Nome não encontrado
Carboidrato total,g,"8,84","1,77","11,5",BRC0125T,Nome não encontrado
Carboidrato disponível,g,"3,73","0,75","4,84",BRC0125T,Nome não encontrado
Proteína,g,"2,78","0,56","3,61",BRC0125T,Nome não encontrado
Lipídios,g,"1,05","0,21","1,36",BRC0125T,Nome não encontrado
Fibra alimentar,g,"5,12","1,02","6,65",BRC0125T,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0125T,Nome não encontrado
Cinzas,g,"0,95","0,19","1,23",BRC0125T,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0125T,Nome não encontrado
Ácidos graxos saturados,g,"0,17","0,03","0,22",BRC0125T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,23","0,05","0,30",BRC0125T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,61","0,12","0,80",BRC0125T,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,01",BRC0125T,Nome não encontrado
Cálcio,mg,"18,0","3,60","23,4",BRC0125T,Nome não encontrado
Ferro,mg,"0,89","0,18","1,16",BRC0125T,Nome não encontrado
Sódio,mg,188,"37,7",245,BRC0125T,Nome não encontrado
Magnésio,mg,"24,7","4,94","32,1",BRC0125T,Nome não encontrado
Fósforo,mg,"55,0","11,0","71,5",BRC0125T,Nome não encontrado
Potássio,mg,162,"32,6",211,BRC0125T,Nome não encontrado
Manganês,mg,"0,23","0,05","0,29",BRC0125T,Nome não encontrado
Zinco,mg,"1,12","0,22","1,45",BRC0125T,Nome não encontrado
Cobre,mg,"0,34","0,07","0,44",BRC0125T,Nome não encontrado
Selênio,mcg,"1,65","0,33","2,14",BRC0125T,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00",BRC0125T,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00",BRC0125T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0125T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,10","0,02","0,12",BRC0125T,Nome não encontrado
Tiamina,mg,"0,04","0,01","0,05",BRC0125T,Nome não encontrado
Riboflavina,mg,"0,00","0,00","0,00",BRC0125T,Nome não encontrado
Niacina,mg,"0,00","0,00","0,00",BRC0125T,Nome não encontrado
Vitamina B6,mg,"0,03","0,01","0,03",BRC0125T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0125T,Nome não encontrado
Vitamina C,mg,"0,27","0,05","0,35",BRC0125T,Nome não encontrado
Equivalente de folato,mcg,"52,0","10,4","67,6",BRC0125T,Nome não encontrado
Sal de adição,g,"0,47","0,09","0,61",BRC0125T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0125T,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0125T,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0125T,Nome não encontrado
Proteína animal,g,-,-,-,BRC0125T,Nome não encontrado
