componente,unidade,Valor por 100g,Colher servir cheia (35 g),Colher sopa cheia (17 g),Concha cheia (140 g),Concha rasa (80 g),codigo_alimento,nome_alimento
Energia,kJ,573,200,97,802,458,BRC0080T,Nome não encontrado
Energia,kcal,136,47,23,190,108,BRC0080T,Nome não encontrado
Umidade,g,"60,9","21,3","10,4","85,3","48,7",BRC0080T,Nome não encontrado
Carboidrato total,g,"26,6","9,30","4,52","37,2","21,2",BRC0080T,Nome não encontrado
Carboidrato disponível,g,"18,5","6,46","3,14","25,9","14,8",BRC0080T,Nome não encontrado
Proteína,g,"9,41","3,29","1,60","13,2","7,53",BRC0080T,Nome não encontrado
Lipídios,g,"0,91","0,32","0,15","1,27","0,73",BRC0080T,Nome não encontrado
Fibra alimentar,g,"8,12","2,84","1,38","11,4","6,49",BRC0080T,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0080T,Nome não encontrado
Cinzas,g,"2,16","0,76","0,37","3,02","1,73",BRC0080T,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00",BRC0080T,Nome não encontrado
Ácidos graxos saturados,g,"0,26","0,09","0,04","0,36","0,20",BRC0080T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,09","0,03","0,01","0,12","0,07",BRC0080T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,38","0,13","0,07","0,54","0,31",BRC0080T,Nome não encontrado
Ácidos graxos trans,g,traços,traços,traços,traços,traços,BRC0080T,Nome não encontrado
Cálcio,mg,"44,4","15,5","7,55","62,2","35,5",BRC0080T,Nome não encontrado
Ferro,mg,"1,18","0,41","0,20","1,65","0,94",BRC0080T,Nome não encontrado
Sódio,mg,188,"65,9","32,0",263,150,BRC0080T,Nome não encontrado
Magnésio,mg,"52,0","18,2","8,83","72,7","41,6",BRC0080T,Nome não encontrado
Fósforo,mg,103,"36,1","17,6",144,"82,6",BRC0080T,Nome não encontrado
Potássio,mg,454,158,"77,2",635,363,BRC0080T,Nome não encontrado
Manganês,mg,"0,22","0,08","0,04","0,31","0,18",BRC0080T,Nome não encontrado
Zinco,mg,"1,27","0,44","0,22","1,78","1,02",BRC0080T,Nome não encontrado
Cobre,mg,"0,32","0,11","0,05","0,45","0,26",BRC0080T,Nome não encontrado
Selênio,mcg,"5,18","1,81","0,88","7,25","4,14",BRC0080T,Nome não encontrado
Vitamina A (RE),mcg,"0,61","0,21","0,10","0,85","0,49",BRC0080T,Nome não encontrado
Vitamina A (RAE),mcg,"0,31","0,11","0,05","0,43","0,24",BRC0080T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0080T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,,,,BRC0080T,Nome não encontrado
Tiamina,mg,"0,31","0,11","0,05","0,43","0,24",BRC0080T,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,traços,BRC0080T,Nome não encontrado
Niacina,mg,"0,77","0,27","0,13","1,08","0,62",BRC0080T,Nome não encontrado
Vitamina B6,mg,"0,02","0,01","0,00","0,03","0,02",BRC0080T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0080T,Nome não encontrado
Vitamina C,mg,"0,39","0,14","0,07","0,54","0,31",BRC0080T,Nome não encontrado
Equivalente de folato,mcg,"99,6","34,9","16,9",139,"79,7",BRC0080T,Nome não encontrado
Sal de adição,g,"0,47","0,16","0,08","0,66","0,38",BRC0080T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0080T,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,BRC0080T,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,BRC0080T,Nome não encontrado
Proteína animal,g,-,-,-,-,-,BRC0080T,Nome não encontrado
