componente,unidade,Valor por 100g,Colher servir cheia (55 g),Colher servir rasa (40 g),codigo_alimento,nome_alimento
Energia,kJ,774,425,309,BRC0510A,Nome não encontrado
Energia,kcal,185,101,73,BRC0510A,Nome não encontrado
Umidade,g,"62,8","34,6","25,1",BRC0510A,Nome não encontrado
Carboidrato total,g,"17,3","9,49","6,90",BRC0510A,Nome não encontrado
Carboidrato disponível,g,"16,2","8,92","6,48",BRC0510A,Nome não encontrado
Proteína,g,"11,1","6,09","4,43",BRC0510A,Nome não encontrado
Lipídios,g,"8,15","4,48","3,26",BRC0510A,Nome não encontrado
Fibra alimentar,g,"1,04","0,57","0,42",BRC0510A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0510A,Nome não encontrado
Cinzas,g,"0,68","0,37","0,27",BRC0510A,Nome não encontrado
Colesterol,mg,"33,4","18,3","13,3",BRC0510A,Nome não encontrado
Ácidos graxos saturados,g,"2,12","1,16","0,85",BRC0510A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,91","1,60","1,17",BRC0510A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"2,56","1,41","1,03",BRC0510A,Nome não encontrado
Ácidos graxos trans,g,"0,04","0,02","0,02",BRC0510A,Nome não encontrado
Cálcio,mg,"23,3","12,8","9,33",BRC0510A,Nome não encontrado
Ferro,mg,"0,86","0,47","0,34",BRC0510A,Nome não encontrado
Sódio,mg,"54,9","30,2","22,0",BRC0510A,Nome não encontrado
Magnésio,mg,"21,8","12,0","8,72",BRC0510A,Nome não encontrado
Fósforo,mg,"80,9","44,5","32,4",BRC0510A,Nome não encontrado
Potássio,mg,128,"70,6","51,3",BRC0510A,Nome não encontrado
Manganês,mg,"0,56","0,31","0,22",BRC0510A,Nome não encontrado
Zinco,mg,"1,08","0,59","0,43",BRC0510A,Nome não encontrado
Cobre,mg,"0,15","0,08","0,06",BRC0510A,Nome não encontrado
Selênio,mcg,"0,95","0,52","0,38",BRC0510A,Nome não encontrado
Vitamina A (RE),mcg,"12,7","6,99","5,09",BRC0510A,Nome não encontrado
Vitamina A (RAE),mcg,"7,18","3,95","2,87",BRC0510A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0510A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,44","0,24","0,17",BRC0510A,Nome não encontrado
Tiamina,mg,"0,02","0,01","0,01",BRC0510A,Nome não encontrado
Riboflavina,mg,"0,01","0,01","0,00",BRC0510A,Nome não encontrado
Niacina,mg,"2,76","1,52","1,10",BRC0510A,Nome não encontrado
Vitamina B6,mg,"0,02","0,01","0,01",BRC0510A,Nome não encontrado
Vitamina B12,mcg,"0,17","0,09","0,07",BRC0510A,Nome não encontrado
Vitamina C,mg,"2,62","1,44","1,05",BRC0510A,Nome não encontrado
Equivalente de folato,mcg,"5,06","2,78","2,02",BRC0510A,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0510A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0510A,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0510A,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0510A,Nome não encontrado
Proteína animal,g,-,-,-,BRC0510A,Nome não encontrado
