componente,unidade,Valor por 100g,codigo_alimento,nome_alimento
Energia,kJ,1332,BRC0154G,Nome não encontrado
Energia,kcal,321,BRC0154G,Nome não encontrado
Umidade,g,"47,1",BRC0154G,Nome não encontrado
Carboidrato total,g,"3,60",BRC0154G,Nome não encontrado
Carboidrato disponível,g,"3,60",BRC0154G,Nome não encontrado
Proteína,g,"21,2",BRC0154G,Nome não encontrado
Lipídios,g,"24,6",BRC0154G,Nome não encontrado
Fibra alimentar,g,"0,00",BRC0154G,Nome não encontrado
Álcool,g,"0,00",BRC0154G,Nome não encontrado
Cinzas,g,"3,50",BRC0154G,Nome não encontrado
Colesterol,mg,"76,0",BRC0154G,Nome não encontrado
Ácidos graxos saturados,g,"13,2",BRC0154G,Nome não encontrado
Ácidos graxos monoinsaturados,g,"5,60",BRC0154G,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,30",BRC0154G,Nome não encontrado
Ácidos graxos trans,g,"0,99",BRC0154G,Nome não encontrado
Cálcio,mg,696,BRC0154G,Nome não encontrado
Ferro,mg,"0,20",BRC0154G,Nome não encontrado
Sódio,mg,501,BRC0154G,Nome não encontrado
Magnésio,mg,"27,0",BRC0154G,Nome não encontrado
Fósforo,mg,403,BRC0154G,Nome não encontrado
Potássio,mg,120,BRC0154G,Nome não encontrado
Manganês,mg,"0,02",BRC0154G,Nome não encontrado
Zinco,mg,"2,70",BRC0154G,Nome não encontrado
Cobre,mg,"0,07",BRC0154G,Nome não encontrado
Selênio,mcg,,BRC0154G,Nome não encontrado
Vitamina A (RE),mcg,111,BRC0154G,Nome não encontrado
Vitamina A (RAE),mcg,111,BRC0154G,Nome não encontrado
Vitamina D,mcg,"6,50",BRC0154G,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,84",BRC0154G,Nome não encontrado
Tiamina,mg,"0,03",BRC0154G,Nome não encontrado
Riboflavina,mg,"0,32",BRC0154G,Nome não encontrado
Niacina,mg,traços,BRC0154G,Nome não encontrado
Vitamina B6,mg,traços,BRC0154G,Nome não encontrado
Vitamina B12,mcg,"1,52",BRC0154G,Nome não encontrado
Vitamina C,mg,,BRC0154G,Nome não encontrado
Equivalente de folato,mcg,"18,0",BRC0154G,Nome não encontrado
Sal de adição,g,"0,00",BRC0154G,Nome não encontrado
Açúcar de adição,g,"0,00",BRC0154G,Nome não encontrado
Gordura de adição,g,"0,00",BRC0154G,Nome não encontrado
Proteína vegetal,g,"0,00",BRC0154G,Nome não encontrado
Proteína animal,g,"0,00",BRC0154G,Nome não encontrado
