componente,unidade,Valor por 100g,Colher sopa rasa (15 g),codigo_alimento,nome_alimento
Energia,kJ,982,147,BRC0010G,Nome não encontrado
Energia,kcal,238,35,BRC0010G,Nome não encontrado
Umidade,g,"69,5","10,4",BRC0010G,Nome não encontrado
Carboidrato total,g,"4,16","0,62",BRC0010G,Nome não encontrado
Carboidrato disponível,g,"4,16","0,62",BRC0010G,Nome não encontrado
Proteína,g,"1,95","0,29",BRC0010G,Nome não encontrado
Lipídios,g,"23,7","3,56",BRC0010G,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0010G,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0010G,Nome não encontrado
Cinzas,g,"0,61","0,09",BRC0010G,Nome não encontrado
Colesterol,mg,"84,2","12,6",BRC0010G,Nome não encontrado
Ácidos graxos saturados,g,"14,5","2,17",BRC0010G,Nome não encontrado
Ácidos graxos monoinsaturados,g,"6,39","0,96",BRC0010G,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,58","0,09",BRC0010G,Nome não encontrado
Ácidos graxos trans,g,"0,80","0,12",BRC0010G,Nome não encontrado
Cálcio,mg,"82,7","12,4",BRC0010G,Nome não encontrado
Ferro,mg,"0,30","0,05",BRC0010G,Nome não encontrado
Sódio,mg,"51,7","7,76",BRC0010G,Nome não encontrado
Magnésio,mg,"7,54","1,13",BRC0010G,Nome não encontrado
Fósforo,mg,118,"17,8",BRC0010G,Nome não encontrado
Potássio,mg,118,"17,8",BRC0010G,Nome não encontrado
Manganês,mg,"0,01","0,00",BRC0010G,Nome não encontrado
Zinco,mg,"0,29","0,04",BRC0010G,Nome não encontrado
Cobre,mg,"0,02","0,00",BRC0010G,Nome não encontrado
Selênio,mcg,,,BRC0010G,Nome não encontrado
Vitamina A (RE),mcg,142,"21,4",BRC0010G,Nome não encontrado
Vitamina A (RAE),mcg,138,"20,8",BRC0010G,Nome não encontrado
Vitamina D,mcg,"1,05","0,16",BRC0010G,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,61","0,09",BRC0010G,Nome não encontrado
Tiamina,mg,traços,traços,BRC0010G,Nome não encontrado
Riboflavina,mg,"0,10","0,02",BRC0010G,Nome não encontrado
Niacina,mg,"0,00","0,00",BRC0010G,Nome não encontrado
Vitamina B6,mg,traços,traços,BRC0010G,Nome não encontrado
Vitamina B12,mcg,"0,12","0,02",BRC0010G,Nome não encontrado
Vitamina C,mg,traços,traços,BRC0010G,Nome não encontrado
Equivalente de folato,mcg,"2,89","0,43",BRC0010G,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0010G,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0010G,Nome não encontrado
Gordura de adição,g,"23,7","3,56",BRC0010G,Nome não encontrado
Proteína vegetal,g,"0,00","0,00",BRC0010G,Nome não encontrado
Proteína animal,g,"1,95","0,29",BRC0010G,Nome não encontrado
