componente,unidade,Valor por 100g,Colher sopa cheia (20 g),Colher sopa rasa (16 g),codigo_alimento,nome_alimento
Energia,kJ,85,16,13,BRC0055B,Nome não encontrado
Energia,kcal,20,4,3,BRC0055B,Nome não encontrado
Umidade,g,"93,1","18,6","14,9",BRC0055B,Nome não encontrado
Carboidrato total,g,"5,07","1,01","0,81",BRC0055B,Nome não encontrado
Carboidrato disponível,g,"1,94","0,39","0,31",BRC0055B,Nome não encontrado
Proteína,g,"1,32","0,26","0,21",BRC0055B,Nome não encontrado
Lipídios,g,"0,12","0,02","0,02",BRC0055B,Nome não encontrado
Fibra alimentar,g,"3,13","0,63","0,50",BRC0055B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0055B,Nome não encontrado
Cinzas,g,"0,42","0,08","0,07",BRC0055B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0055B,Nome não encontrado
Ácidos graxos saturados,g,"0,03","0,01","0,00",BRC0055B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,02","0,00","0,00",BRC0055B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,03","0,01","0,00",BRC0055B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0055B,Nome não encontrado
Cálcio,mg,"78,3","15,7","12,5",BRC0055B,Nome não encontrado
Ferro,mg,"0,20","0,04","0,03",BRC0055B,Nome não encontrado
Sódio,mg,"0,49","0,10","0,08",BRC0055B,Nome não encontrado
Magnésio,mg,"22,0","4,41","3,53",BRC0055B,Nome não encontrado
Fósforo,mg,"36,9","7,39","5,91",BRC0055B,Nome não encontrado
Potássio,mg,"91,5","18,3","14,6",BRC0055B,Nome não encontrado
Manganês,mg,"0,31","0,06","0,05",BRC0055B,Nome não encontrado
Zinco,mg,"0,33","0,07","0,05",BRC0055B,Nome não encontrado
Cobre,mg,"0,12","0,02","0,02",BRC0055B,Nome não encontrado
Selênio,mcg,"0,20","0,04","0,03",BRC0055B,Nome não encontrado
Vitamina A (RE),mcg,"32,5","6,50","5,20",BRC0055B,Nome não encontrado
Vitamina A (RAE),mcg,"16,3","3,25","2,60",BRC0055B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0055B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,15","0,03","0,02",BRC0055B,Nome não encontrado
Tiamina,mg,"0,05","0,01","0,01",BRC0055B,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0055B,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0055B,Nome não encontrado
Vitamina B6,mg,"0,01","0,00","0,00",BRC0055B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0055B,Nome não encontrado
Vitamina C,mg,"2,68","0,54","0,43",BRC0055B,Nome não encontrado
Equivalente de folato,mcg,"42,9","8,58","6,86",BRC0055B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0055B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0055B,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0055B,Nome não encontrado
Proteína vegetal,g,"1,32","0,26","0,21",BRC0055B,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0055B,Nome não encontrado
